molecule_name,score
rxn:2:89710:75079,0.14782116810480753
rxn:2:166916:128413,0.1475943422317505
rxn:2:108600:131279,0.14662511398394903
rxn:2:130370:170892,0.14448415316068208
rxn:2:166916:108287,0.14304523114804868
rxn:2:112914:108287,0.14211236188809076
rxn:2:131373:133432,0.1407065283168446
rxn:2:84393:144543,0.14051008939743043
rxn:2:135979:113626,0.14021898352581522
rxn:2:117866:128413,0.13938695451487665
rxn:2:145788:107408,0.1391946268081665
rxn:2:71158:118774,0.13901591041813727
rxn:2:122689:116515,0.138900359471639
rxn:2:138608:141812,0.13865514423536218
rxn:2:84393:166234,0.13858520984649658
rxn:2:126227:131279,0.13858489513397218
rxn:2:117866:73041,0.1385129275529281
rxn:2:130370:142192,0.13850422700246176
rxn:2:118285:169326,0.13832717928393135
rxn:2:66651:141812,0.13814248144626617
rxn:2:89710:80888,0.13805256287256876
rxn:2:130370:165319,0.13785333103603786
rxn:2:119048:144543,0.1377204418182373
rxn:2:131373:72130,0.13761863583012632
rxn:2:78534:109025,0.1374643643697103
rxn:2:135979:122855,0.13712257405985956
rxn:2:80594:90126,0.13702484965324402
rxn:2:131373:113963,0.13699847757816314
rxn:2:138608:133432,0.13676111221313478
rxn:2:89710:82371,0.13669221103191376
rxn:2:143189:73041,0.13663671255111695
rxn:2:95640:127220,0.1363375186920166
rxn:2:90367:136054,0.13629052949988324
rxn:2:71158:66791,0.13602430621782938
rxn:2:84393:122772,0.13588991113331006
rxn:2:118285:135906,0.13588858338502738
rxn:2:131373:94543,0.13582051935650052
rxn:2:89710:154249,0.1357453951129207
rxn:2:71158:68807,0.13565552234649658
rxn:2:78534:150743,0.13547729362141003
rxn:2:122689:108287,0.13545058012008668
rxn:2:78534:135906,0.13543431815646945
rxn:2:126818:153413,0.1351671373402631
rxn:2:89710:119826,0.13515822092692056
rxn:2:73830:75079,0.13513209249662317
rxn:2:131907:141213,0.1350212466149103
rxn:2:169659:85686,0.134996568163236
rxn:2:126818:113963,0.13488561908404031
rxn:2:119048:135906,0.13483787619549295
rxn:2:131373:107408,0.13464043736457826
rxn:2:73830:66791,0.13464039067427316
rxn:2:135979:85686,0.1346085952675861
rxn:2:131373:85686,0.13455258011817933
rxn:2:83428:170892,0.13452290495236716
rxn:2:131373:127220,0.13439067772456578
rxn:2:95640:149170,0.13437948482377188
rxn:2:73830:124273,0.134355876756751
rxn:2:112914:133432,0.13431569933891296
rxn:2:89710:110041,0.13429581125577292
rxn:2:99046:141213,0.1341285208861033
rxn:2:90367:73041,0.13407463871914407
rxn:2:119048:107408,0.13403818824074484
rxn:2:126818:154249,0.13399131651277896
rxn:2:143189:154249,0.13390746925558364
rxn:2:66651:153591,0.1338535569332264
rxn:2:112914:169604,0.13377012656285212
rxn:2:126818:131279,0.13374183575312296
rxn:2:110995:170892,0.13359572269298411
rxn:2:126818:72130,0.13352261418881622
rxn:2:131907:134530,0.1334756135940552
rxn:2:119048:136054,0.1334077607501637
rxn:2:138608:68807,0.13339226692914963
rxn:2:88449:135906,0.13333696871995926
rxn:2:108600:122772,0.1332861042022705
rxn:2:73830:108287,0.13320655822753907
rxn:2:169659:172265,0.13317787647247314
rxn:2:119048:134530,0.13315158811482516
rxn:2:148561:169604,0.132993313772925
rxn:2:130370:144543,0.13285413613686195
rxn:2:80594:142192,0.13284999877214432
rxn:2:119048:85400,0.1328092476596003
rxn:2:73830:169604,0.13279292318556044
rxn:2:118285:162453,0.13277914002537727
rxn:2:131373:87651,0.13274485724312918
rxn:2:89710:90126,0.13261762142181396
rxn:2:110995:66791,0.13256593704223632
rxn:2:125845:144543,0.13236145923535028
rxn:2:88449:68807,0.1322115163008372
rxn:2:143189:162453,0.13220739178359509
rxn:2:143189:85686,0.13212076902389527
rxn:2:166916:68807,0.13210413318413955
rxn:2:145788:141812,0.1320800232887268
rxn:2:73830:120359,0.1320659621902134
rxn:2:131373:141213,0.13197059290749685
rxn:2:118285:94292,0.13192257616255018
rxn:2:125845:169340,0.131891188621521
rxn:2:99046:172618,0.13186305073591378
rxn:2:122689:154249,0.13166267367509696
rxn:2:122689:137331,0.13165750970011172
rxn:2:83428:172265,0.13156976608129647
rxn:2:138608:95550,0.13156364361445108
rxn:2:143189:141812,0.1315431261062622
rxn:2:89710:94410,0.1314232423901558
rxn:2:131907:94292,0.13129714944145895
rxn:2:143189:110041,0.13123955488204955
rxn:2:80594:87651,0.1312220593293508
rxn:2:122689:165319,0.13116029456809716
rxn:2:143189:172618,0.1311273447104863
rxn:2:169659:165969,0.1310623390921231
rxn:2:119048:113626,0.1310150840065696
rxn:2:126818:119826,0.13100683937470117
rxn:2:125845:94410,0.13086907920383273
rxn:2:143189:169537,0.13083014180583338
rxn:2:126818:66791,0.1308118772506714
rxn:2:166916:115254,0.13073152542114258
rxn:2:131373:166069,0.13060792467810892
rxn:2:78534:115754,0.13057547807693481
rxn:2:166916:93716,0.13051107984322768
rxn:2:135979:144543,0.13048227016742414
rxn:2:71158:141213,0.13044387102127075
rxn:2:89710:134530,0.13036717971165976
rxn:2:73830:85686,0.1303522560907447
rxn:2:95640:162453,0.1302657127380371
rxn:2:84393:170892,0.1302008056640625
rxn:2:169659:166287,0.13015478423663548
rxn:2:73830:122855,0.13008704392806344
rxn:2:145788:166234,0.12998563256757012
rxn:2:143189:113626,0.1299813222885132
rxn:2:89710:138839,0.1299346685409546
rxn:2:119048:66791,0.12992307155028635
rxn:2:127547:122772,0.12982079883416495
rxn:2:137210:127220,0.1297219047943751
rxn:2:131907:126659,0.12972156405448915
rxn:2:119048:172618,0.1296931028366089
rxn:2:169659:131279,0.1295906106630961
