Reactant analysis summary
========================================================================
Source:    /root/workspace/nova-4090/data/rxn5.csv
Molecules: 1199
Detail:    /root/workspace/nova-4090/data/rxn5_reactant_analysis.csv

------------------------------------------------------------------------
Position 1  (261 unique reactants)
------------------------------------------------------------------------
   reactant_id   count       avg_score       max_score
        194934     122    0.1115482843    0.1245413637
        180876      53    0.1115554001    0.1286209111
        198636      49    0.1129459302    0.1290191633
        182891      41    0.1111605084    0.1285128554
        181957      40    0.1118418259    0.1277299949
        194936      35    0.1125945257    0.1308679695
        178712      28    0.1125613485    0.1227753913
        198248      25    0.0905417291    0.1038296819
        195464      21    0.1095457991    0.1297069490
        198443      21    0.0961326658    0.0997989655
        198666      18    0.1145743967    0.1232813128
        198670      17    0.1138001904    0.1283764634
        180880      17    0.1124924189    0.1275731421
        195525      16    0.1164768998    0.1312317872
        180882      14    0.1089483516    0.1255153285
        197566      14    0.1119858670    0.1236938983
        199060      14    0.0658928049    0.0837336127
        198245      13    0.0923906932    0.0999145920
        195918      12    0.1271349547    0.1399697088
        198685      12    0.1122389090    0.1227034075
        195795      12    0.1141464083    0.1195831024
        194058      12    0.0979080111    0.1093725012
        199091      12    0.0732970800    0.1019312246
        181281      11    0.1133295033    0.1256788301
        183061      11    0.1122349294    0.1214381903
        197413      11    0.0608295141    0.0713871323
        182658      10    0.1240503979    0.1283018192
        198435      10    0.1169569124    0.1268350276
        197453      10    0.1144483000    0.1254139123
        178711      10    0.1102744164    0.1201140511
        178616      10    0.0592303038    0.0647803415
        194950       9    0.1150059719    0.1255064160
        195924       9    0.1099321750    0.1246278309
        195790       9    0.1072938380    0.1217693157
        188957       9    0.1081434042    0.1200914502
        180874       9    0.1136164845    0.1170045963
        195451       9    0.0931832460    0.0985026832
        199076       8    0.1157995540    0.1261726809
        196677       8    0.1158828117    0.1205533666
        181411       8    0.1075051788    0.1122307654
        198444       8    0.0914712162    0.0996807649
        198680       7    0.1258548033    0.1332913990
        198750       7    0.1119725399    0.1190213671
        194946       7    0.1004284501    0.1177042860
        198448       6    0.1278165321    0.1334253407
        181409       6    0.1152998065    0.1329716158
        198409       6    0.1273472470    0.1324572945
        194941       6    0.1141571716    0.1274375816
        198543       6    0.1170833565    0.1264290760
        199055       6    0.1121673983    0.1201961310
        198495       6    0.0854514321    0.1076712876
        195450       6    0.0965640297    0.1005326856
        198428       5    0.1243379228    0.1341752570
        197126       5    0.1245909099    0.1331936696
        197412       5    0.1168290240    0.1310671773
        198230       5    0.1138540292    0.1246859183
        192084       5    0.1030908560    0.1235863383
        188721       5    0.1129414704    0.1216750954
        180879       5    0.1136630084    0.1174473854
        196765       5    0.1115844421    0.1140921973
        176997       4    0.1138830025    0.1240429772
        188408       4    0.1171216763    0.1236246320
        181280       4    0.1142462480    0.1221053219
        191339       4    0.1117106628    0.1219433546
        182581       4    0.1120175009    0.1206791614
        182635       4    0.1146427049    0.1185435262
        180881       4    0.1128322216    0.1181666042
        198237       4    0.1074176913    0.1121647429
        182653       4    0.0986437566    0.1093113606
        195062       4    0.0961859843    0.1087172604
        198280       4    0.0597276583    0.0662137747
        195923       3    0.1212930766    0.1317177484
        197414       3    0.1179900948    0.1278854362
        199074       3    0.1169152241    0.1271653452
        191915       3    0.1142370287    0.1264552784
        179535       3    0.1166981562    0.1218151803
        199082       3    0.1116172224    0.1155462964
        198122       3    0.1118095682    0.1153197835
        181852       3    0.1120856106    0.1150919437
        195524       3    0.1140492060    0.1150441903
        182817       3    0.1094344088    0.1148827268
        182441       3    0.1110942235    0.1141921307
        196788       3    0.1104021721    0.1112796267
        192235       3    0.0939850075    0.0958758285
        198281       3    0.0572101992    0.0646827146
        198416       2    0.1247087075    0.1306057183
        181076       2    0.1259022497    0.1284079266
        181958       2    0.1243492365    0.1274740873
        188409       2    0.1167908205    0.1253019174
        198426       2    0.1235204102    0.1248541761
        188725       2    0.1157250873    0.1229168797
        195528       2    0.1201837027    0.1228307605
        195468       2    0.1215229773    0.1218892025
        198913       2    0.1157289426    0.1218207876
        191333       2    0.1145125073    0.1206754850
        192174       2    0.1143894456    0.1190673797
        181408       2    0.1143225661    0.1168131943
        198418       2    0.1143663456    0.1160537395
        181284       2    0.1149675491    0.1160266399
        179551       2    0.1122195212    0.1158067440
        179541       2    0.1153841594    0.1153841594
        182898       2    0.1141245429    0.1152621657
        198663       2    0.1137118181    0.1149359139
        198645       2    0.1143486323    0.1148814095
        179189       2    0.1145562960    0.1146429531
        198120       2    0.1133001797    0.1139039626
        181737       2    0.1131114681    0.1137678109
        180677       2    0.1130235047    0.1134495060
        196764       2    0.1112443087    0.1133612011
        180141       2    0.1125452016    0.1133060911
        195960       2    0.1129776408    0.1132271330
        179396       2    0.1128804186    0.1132085601
        199275       2    0.0870995193    0.1129776835
        196871       2    0.1118357249    0.1126714908
        179537       2    0.1109322453    0.1113642084
        181276       2    0.1099894136    0.1108328657
        195299       2    0.1097016736    0.1105327904
        198433       2    0.1046204730    0.1101871817
        199128       2    0.1093578589    0.1094313168
        192169       2    0.1081484712    0.1094175359
        198630       2    0.1074640820    0.1087815120
        194944       2    0.0839584727    0.1081713544
        195676       2    0.0999470756    0.1020805963
        191332       2    0.0970997310    0.0991540551
        198622       2    0.0621736542    0.0648973313
        182843       2    0.0578608151    0.0598472136
        181432       1    0.1379714056    0.1379714056
        196404       1    0.1337736318    0.1337736318
        188520       1    0.1314753741    0.1314753741
        195321       1    0.1302140880    0.1302140880
        182655       1    0.1281312979    0.1281312979
        195331       1    0.1278734560    0.1278734560
        182647       1    0.1275361318    0.1275361318
        197122       1    0.1264198489    0.1264198489
        198328       1    0.1248111681    0.1248111681
        192175       1    0.1234209140    0.1234209140
        182652       1    0.1224439305    0.1224439305
        195310       1    0.1216122198    0.1216122198
        177191       1    0.1214806298    0.1214806298
        197127       1    0.1208283901    0.1208283901
        191699       1    0.1201821462    0.1201821462
        179536       1    0.1195933798    0.1195933798
        198631       1    0.1192097706    0.1192097706
        182143       1    0.1190537666    0.1190537666
        195927       1    0.1188586354    0.1188586354
        191337       1    0.1186561997    0.1186561997
        182638       1    0.1179983382    0.1179983382
        176753       1    0.1176647811    0.1176647811
        176754       1    0.1176647811    0.1176647811
        179709       1    0.1175596575    0.1175596575
        182824       1    0.1174782515    0.1174782515
        181062       1    0.1172765228    0.1172765228
        182501       1    0.1172557282    0.1172557282
        181582       1    0.1170722164    0.1170722164
        198197       1    0.1168701450    0.1168701450
        199062       1    0.1168163347    0.1168163347
        179175       1    0.1165543750    0.1165543750
        198474       1    0.1164679436    0.1164679436
        179203       1    0.1164617333    0.1164617333
        195465       1    0.1162014859    0.1162014859
        192965       1    0.1158321146    0.1158321146
        192170       1    0.1156982553    0.1156982553
        198238       1    0.1156556463    0.1156556463
        189502       1    0.1156085048    0.1156085048
        196337       1    0.1153269718    0.1153269718
        191335       1    0.1153198572    0.1153198572
        191802       1    0.1150078793    0.1150078793
        176996       1    0.1148137073    0.1148137073
        182222       1    0.1147414426    0.1147414426
        196333       1    0.1143773342    0.1143773342
        198415       1    0.1141955985    0.1141955985
        195460       1    0.1139346021    0.1139346021
        195798       1    0.1136154624    0.1136154624
        198672       1    0.1133652192    0.1133652192
        181278       1    0.1132733115    0.1132733115
        188956       1    0.1130305673    0.1130305673
        183190       1    0.1130097970    0.1130097970
        198748       1    0.1126727307    0.1126727307
        197408       1    0.1126391234    0.1126391234
        180662       1    0.1125959844    0.1125959844
        195961       1    0.1125876745    0.1125876745
        182892       1    0.1124860851    0.1124860851
        198516       1    0.1124245203    0.1124245203
        177273       1    0.1122229634    0.1122229634
        176758       1    0.1118640447    0.1118640447
        197213       1    0.1117555181    0.1117555181
        182849       1    0.1117505164    0.1117505164
        198628       1    0.1116192213    0.1116192213
        188069       1    0.1116161490    0.1116161490
        198400       1    0.1115330883    0.1115330883
        195957       1    0.1114274522    0.1114274522
        198638       1    0.1112132514    0.1112132514
        179197       1    0.1112090781    0.1112090781
        197410       1    0.1110612880    0.1110612880
        179538       1    0.1109859804    0.1109859804
        198915       1    0.1109763055    0.1109763055
        192082       1    0.1107395334    0.1107395334
        191681       1    0.1106816354    0.1106816354
        180723       1    0.1105468236    0.1105468236
        177286       1    0.1104206528    0.1104206528
        179975       1    0.1101801169    0.1101801169
        196679       1    0.1096807520    0.1096807520
        198425       1    0.1096526193    0.1096526193
        198626       1    0.1096176925    0.1096176925
        181580       1    0.1094327105    0.1094327105
        176556       1    0.1094068845    0.1094068845
        188597       1    0.1092069129    0.1092069129
        196415       1    0.1087905918    0.1087905918
        182710       1    0.1083526755    0.1083526755
        181581       1    0.1083149463    0.1083149463
        198413       1    0.1081246469    0.1081246469
        198656       1    0.1079517688    0.1079517688
        179184       1    0.1079253205    0.1079253205
        182846       1    0.1078691568    0.1078691568
        198642       1    0.1071663031    0.1071663031
        180602       1    0.1071331427    0.1071331427
        192966       1    0.1070583568    0.1070583568
        198749       1    0.1070140142    0.1070140142
        198241       1    0.1069941235    0.1069941235
        181961       1    0.1059142841    0.1059142841
        176994       1    0.1057081549    0.1057081549
        182895       1    0.1051983957    0.1051983957
        196573       1    0.1045455447    0.1045455447
        183217       1    0.1045266332    0.1045266332
        196331       1    0.1045143111    0.1045143111
        181576       1    0.1042383291    0.1042383291
        181959       1    0.1028462265    0.1028462265
        195526       1    0.1022704290    0.1022704290
        191236       1    0.1014042179    0.1014042179
        198417       1    0.0994997988    0.0994997988
        198299       1    0.0993212680    0.0993212680
        181078       1    0.0989498278    0.0989498278
        195609       1    0.0983258206    0.0983258206
        182708       1    0.0982673124    0.0982673124
        177274       1    0.0975262831    0.0975262831
        195675       1    0.0973906787    0.0973906787
        198228       1    0.0965125607    0.0965125607
        195303       1    0.0962970376    0.0962970376
