Reactant analysis summary
========================================================================
Source:    /root/workspace/nova-4090/data/rxn1.csv
Molecules: 5162
Detail:    /root/workspace/nova-4090/data/rxn1_reactant_analysis.csv

------------------------------------------------------------------------
Position 1  (1638 unique reactants)
------------------------------------------------------------------------
   reactant_id   count       avg_score       max_score
         59225     314    0.1018039946    0.1468440105
         61784     313    0.1048724748    0.1522473653
         62688     139    0.0916990717    0.1421380693
         50325     117    0.1113501793    0.1417631312
         62565     109    0.1054824000    0.1371293995
         43741      98    0.1028314599    0.1286908516
         52633      87    0.1014468803    0.1194303790
         55769      78    0.1105361199    0.1294728827
         41622      65    0.1002339597    0.1184230543
         49432      64    0.0957529863    0.1528665076
         46761      55    0.0990202479    0.1209164963
         43719      36    0.0890602112    0.1317739884
         53145      35    0.0974399636    0.1238263434
         56717      35    0.1022986669    0.1187687383
         62555      34    0.0982699894    0.1425928164
         48333      32    0.1176745736    0.1298444810
         60111      29    0.1124599382    0.1405626524
         52635      29    0.1016612120    0.1155493388
         65438      27    0.0970734802    0.1374578893
         49433      27    0.1007109650    0.1260268754
         59013      23    0.1089763552    0.1434151243
         59985      23    0.1025895817    0.1332089826
         49421      22    0.0915606001    0.1304935376
         52417      20    0.0979734825    0.1153251784
         61562      19    0.0983863031    0.1245220642
         42029      17    0.0832940380    0.1283840821
         50088      17    0.1010937685    0.1236615360
         61753      16    0.1138314334    0.1379672359
         59234      16    0.1202887445    0.1308447215
         52657      16    0.1074323092    0.1208729098
         56649      16    0.0990855614    0.1141135610
         53895      16    0.0988181355    0.1104589820
         63757      15    0.0998154146    0.1421380693
         62588      15    0.1016139020    0.1321446896
         52656      15    0.1045465298    0.1242629468
         53892      15    0.1001381966    0.1091551244
         41907      14    0.0832983097    0.1406041513
         41918      14    0.0759385813    0.1259741677
         58934      14    0.1004497070    0.1144681392
         49437      13    0.1105267713    0.1343094689
         51904      13    0.1033863754    0.1188424269
         43697      13    0.0867023982    0.1187731599
         53072      13    0.0970033711    0.1102977347
         47894      12    0.0979416005    0.1213252015
         53632      12    0.1019841580    0.1185211009
         41723      12    0.0740176681    0.1117670691
         52623      12    0.0965929743    0.1115684586
         59075      11    0.1172378053    0.1268893917
         52404      11    0.1103977099    0.1263857262
         61592      11    0.1099259789    0.1233559142
         52145      11    0.1033461183    0.1194027858
         59021      11    0.0960998503    0.1174856881
         44021      11    0.0997596550    0.1088745455
         50084      11    0.0949651932    0.1058971330
         51895      10    0.1041961522    0.1307303789
         59278      10    0.1129608235    0.1258353616
         47485       9    0.1137807193    0.1283858938
         41844       9    0.1062565961    0.1230551749
         40021       9    0.1034337049    0.1221238759
         44511       9    0.0950248794    0.1174685889
         52660       9    0.1008240245    0.1144228162
         54330       9    0.0965173248    0.1090112618
         43756       8    0.0881165091    0.1357214313
         45526       8    0.0843411659    0.1349498505
         62559       8    0.1172673452    0.1344306469
         45983       8    0.1149803113    0.1307795328
         65013       8    0.0808639929    0.1286908516
         52409       8    0.1075048116    0.1279491836
         65132       8    0.1051887491    0.1274447511
         55439       8    0.1063484477    0.1270603145
         42304       8    0.1013285319    0.1256031773
         62561       8    0.1097022183    0.1245891941
         52532       8    0.1038843574    0.1218986763
         40027       8    0.1011629936    0.1204328672
         55268       8    0.1053625510    0.1189726049
         51952       8    0.1058309411    0.1188636095
         46097       8    0.1077794961    0.1168020604
         55288       8    0.0978110889    0.1153869320
         52638       8    0.1022975615    0.1144053058
         51662       8    0.1022146149    0.1131327291
         51972       8    0.1004188439    0.1115101943
         52051       8    0.0934607152    0.1108927079
         61799       8    0.0750748832    0.1102157894
         45624       8    0.1017159631    0.1097293759
         42573       7    0.0934157418    0.1339732607
         45646       7    0.1139803384    0.1331368063
         51538       7    0.1150231206    0.1326646945
