# Reactant analysis
# source: /root/workspace/nova-4090/data/rxn2.csv
# molecules_analyzed: 12301
# reactant_position: 1 = first reactant after rxn:N, 2 = second, 3 = third (if present)
# sorted within each position by count (desc), then max_score (desc)
reactant_position,reactant_id,count,avg_score,max_score
1,125845,799,0.0847063913,0.1513129933
1,110360,139,0.0862074794,0.1257389122
1,101348,132,0.1034343294,0.1241124807
1,129548,105,0.0948087724,0.1214668165
1,72207,85,0.1052221511,0.1237932074
1,114914,80,0.1127738850,0.1395170599
1,138879,74,0.0414687959,0.0990731191
1,114506,54,0.1040084288,0.1315765867
1,157350,50,0.1001083638,0.1405492295
1,129325,49,0.1230575362,0.1467207491
1,149099,48,0.1127576921,0.1360109929
1,161053,43,0.1011909603,0.1180961786
1,127741,41,0.0877713286,0.1355703152
1,66393,40,0.1132345672,0.1402214766
1,109584,39,0.1087040659,0.1359546408
1,110900,39,0.0919260071,0.1345811794
1,157019,39,0.1121998757,0.1312886784
1,77319,38,0.1106377109,0.1417832047
1,146579,38,0.1056700333,0.1258827885
1,91717,38,0.1031282026,0.1214299431
1,156787,35,0.0804552362,0.1333472356
1,105957,35,0.0806342829,0.1286722571
1,93935,33,0.1152500677,0.1392429431
1,133834,33,0.1054326337,0.1343072991
1,101490,33,0.1094867823,0.1309189379
1,163066,32,0.1020837962,0.1283033159
1,93081,31,0.1083706973,0.1480822682
1,101976,31,0.1041377131,0.1323193596
1,168185,31,0.1030133584,0.1271171607
1,83428,31,0.0982448713,0.1245117729
1,139209,31,0.0913879241,0.1225712862
1,141979,29,0.1087260100,0.1369994839
1,69319,29,0.1089701055,0.1309188912
1,93632,29,0.1095616306,0.1274790306
1,123282,28,-17.7917491713,0.1344467572
1,114027,28,0.1147334181,0.1316337263
1,130068,28,0.1131500161,0.1312845111
1,71886,27,0.1124140671,0.1396131422
1,113313,27,0.1094895233,0.1340952005
1,108285,27,0.1057826859,0.1322904527
1,152489,27,0.1125100750,0.1256684298
1,87584,26,0.1081637787,0.1272715407
1,123961,26,0.1094981535,0.1220046436
1,84850,26,0.1037403573,0.1204754996
1,66976,25,0.0921217075,0.1484488897
1,123442,25,0.0642633749,0.1275592516
1,93093,25,0.1084840455,0.1249623859
1,136201,25,0.1123267903,0.1226678741
1,101450,24,0.1071056462,0.1452464834
1,141847,24,0.0801230590,0.1442988515
1,111568,24,0.0995067258,0.1308897092
1,136710,24,0.1121041488,0.1272666669
1,132839,24,0.1051051293,0.1263774480
1,78032,23,0.0880752420,0.1357538392
1,131133,23,0.1041578852,0.1284605205
1,121445,23,0.0954484652,0.1234205891
1,166916,23,0.0988776673,0.1190906297
1,135604,22,0.1100017035,0.1355820952
1,146532,22,0.1090487254,0.1292031328
1,91466,22,0.1072455640,0.1291143123
1,163405,22,0.1068984526,0.1262470710
1,68754,22,0.1064713899,0.1222500635
