name,score
rxn:2:106030:142183,0.12998794515927634
rxn:1:60111:37744,0.15445766999171331
rxn:2:125927:142183,0.13363386117495024
rxn:2:141397:172618,0.13867186798768885
rxn:2:141397:74816,0.1345524237706111
rxn:1:62096:723,0.13947448134422302
rxn:2:136412:142183,0.15209601074457169
rxn:1:62096:723,0.13947448134422302
rxn:2:103132:142183,0.13846081122756004
rxn:2:141397:171392,0.14544574302785537
rxn:2:118262:142183,0.123336774962289
rxn:2:142033:126659,0.11791899601618448
rxn:1:64149:723,0.16630210621016367
rxn:2:138647:142183,0.14801930056677925
rxn:2:141397:158637,0.12806404720653186
rxn:1:42412:723,0.11503532257947055
rxn:2:105340:170913,0.1317447853088379
rxn:2:90396:142183,0.11491125822067261
rxn:2:150492:142183,0.12531279262743497
rxn:2:110352:169305,0.15453604289463588
rxn:1:46492:3819,0.11319190661112467
rxn:2:141397:171534,0.11877973590578352
rxn:2:85225:169412,0.14006034753940724
rxn:1:46492:5553,0.09582285881042481
rxn:2:105340:152446,0.12559433087058688
rxn:2:148312:142183,0.14671490066929868
rxn:2:97081:169412,0.12251205576790704
rxn:2:75081:142183,0.1142188273370266
rxn:2:136412:142183,0.15209601074457169
rxn:2:102870:142183,0.14359834988911946
rxn:2:77560:171179,0.15212863954630765
rxn:2:119869:142183,0.15504882484674454
rxn:2:141397:102373,0.1340007781982422
rxn:2:141397:159993,0.14143658876419068
rxn:2:159299:142183,0.12609737449222141
rxn:2:141397:68909,0.12515490896561565
rxn:2:148598:142183,0.1575927800602383
rxn:2:88266:97563,0.14753876282618597
rxn:2:141397:85327,0.14043907076120377
rxn:2:97543:172751,0.14078618420494926
rxn:2:141397:115233,0.10285102043833051
rxn:2:105340:169305,0.1437271785736084
rxn:2:141397:172676,0.13118884509260004
rxn:2:141397:154822,0.12836342508142645
rxn:2:94402:94314,0.14066070318222046
rxn:2:110352:169414,0.12581623196601868
rxn:2:110352:108127,0.09027481780332677
rxn:2:141397:151992,0.1447556458021465
rxn:2:115896:70192,0.1401434432376515
rxn:2:141397:147330,0.1302367647488912
rxn:2:141397:171933,0.10718466175927056
rxn:2:91952:142183,0.14484995206197102
rxn:2:86811:94314,0.14383548956650954
rxn:2:73728:173089,0.1477203028542655
rxn:1:60111:13903,0.12171834707260132
rxn:2:141397:170471,0.10776393711566926
rxn:2:66959:170060,0.15826005847365768
rxn:2:135058:169305,0.14351472487816444
rxn:2:119484:142183,0.13094963878393173
rxn:2:100318:133871,0.13294718095234462
rxn:2:132002:94314,0.1581401377916336
rxn:2:141397:152226,0.1607253488741423
rxn:2:138076:169305,0.15625950923332801
rxn:2:97024:127577,0.1476660396741784
rxn:2:77915:142183,0.09479042689005533
rxn:2:141397:172841,0.12599366241031223
rxn:2:141397:74209,0.11873000434466771
rxn:2:124198:112875,0.12529802322387695
rxn:2:165375:142183,0.12567416931453504
