molecule_name,final_score,epoch
rxn:5:182500:223407:229339,0.1711704759370713,20801
rxn:5:181417:229067:229333,0.1545231315222653,20801
rxn:5:195793:223396:229333,0.1520456749459971,20801
rxn:5:179190:229225:229338,0.1444195671515031,20801
rxn:5:195525:228761:229343,0.1396279687231237,20801
rxn:5:181575:223444:229333,0.1377992846749045,20801
rxn:5:181421:228045:229339,0.1366583506266276,20801
rxn:5:179190:229057:229343,0.1277239866878675,20801
rxn:5:179199:228876:229333,0.1260990475614865,20801
rxn:5:182500:227645:229258,0.1227267980575561,20801
rxn:5:182502:228698:223365,0.1209516135545877,20801
rxn:5:181575:229068:229333,0.1198771731419996,20801
rxn:5:191681:228878:229343,0.1162928083668584,20801
rxn:5:181417:229057:229333,0.1152989105744795,20801
rxn:5:182500:229086:223365,0.1139733934402465,20801
rxn:5:196767:228698:229097,0.1111591478188832,20801
rxn:5:196767:228698:229115,0.1098366618156433,20801
rxn:5:179193:229057:229333,0.1086601148480954,20801
rxn:5:182500:228698:228669,0.0991002106666564,20801
rxn:5:177971:223054:228727,0.0962835073471069,20801
rxn:5:182709:223137:227507,0.0944312178727352,20801
rxn:5:178467:223006:228763,0.0942963103990297,20801
rxn:5:177971:223054:229179,0.0939717047354754,20801
rxn:3:64509:6355:76044,0.0939696311950683,20801
rxn:5:177971:223054:228768,0.091572219984872,20801
rxn:5:182500:228692:228045,0.09125505731656,20801
rxn:3:64509:22935:120274,0.0890411521707262,20801
rxn:5:178467:222986:229220,0.0889151232583182,20801
rxn:5:178467:222957:229343,0.0882135178103591,20801
rxn:5:177971:223054:228460,0.0880976584222581,20801
rxn:5:182575:228698:222986,0.0827828029791514,20801
rxn:5:178467:222986:229232,0.0809504798480442,20801
rxn:5:198326:228882:229333,0.1783687418157404,20802
rxn:5:198326:228748:229333,0.1614418138157237,20802
rxn:5:182500:223414:229335,0.1582920778365362,20802
rxn:5:182500:223407:229343,0.15726371606191,20802
rxn:5:191677:229242:229343,0.1499875358172825,20802
rxn:5:182500:228652:229343,0.1486301564034961,20802
rxn:5:191677:229023:229333,0.1436031108552759,20802
rxn:5:195299:228588:229313,0.142727167710014,20802
rxn:5:182500:223328:229336,0.1422164683992212,20802
rxn:5:182500:228698:223406,0.1391259479522705,20802
rxn:5:199275:229159:229333,0.138551058769226,20802
rxn:5:195793:229001:229333,0.1319355693730441,20802
