Reactant analysis summary
========================================================================
Source:    /root/workspace/nova-4090/data/rxn2.csv
Molecules: 2368
Detail:    /root/workspace/nova-4090/data/rxn2_reactant_analysis.csv

------------------------------------------------------------------------
Position 1  (740 unique reactants)
------------------------------------------------------------------------
   reactant_id   count       avg_score       max_score
        125845     723    0.0872597581    0.1513129933
        110360      93    0.0828964924    0.1257389122
        138879      74    0.0414687959    0.0990731191
        139209      24    0.0947901838    0.1225712862
         91717      21    0.1037526552    0.1214299431
        123442      20    0.0671246671    0.1275592516
        147486      20    0.0493637361    0.1059827089
        101450      19    0.1093329999    0.1452464834
        105957      18    0.0844713230    0.1286722571
        111568      17    0.1065786973    0.1308897092
         66358      14    0.0689891286    0.1197196603
         83428      14    0.0940989041    0.1161923138
         73951      14    0.0500039489    0.1073409319
         74912      13    0.0643678463    0.1302204293
        124995      13    0.0961219420    0.1126514912
        127741      12    0.0848722421    0.1355703152
        119796      12    0.1106395130    0.1264858996
        114213      11    0.0984698801    0.1187851486
        117969      11    0.0926509304    0.1085079270
        131907      10    0.0722806989    0.1231952054
        153842      10    0.0413733981    0.0775853992
         92749       9    0.0896938026    0.1266195595
        166916       9    0.1007898083    0.1190906297
        141847       9    0.0611097968    0.1181999266
         78032       8    0.0908959451    0.1357538392
         94862       8    0.1125736980    0.1335733753
        114027       8    0.1120087997    0.1274938434
        121445       8    0.1031885606    0.1234205891
        117485       8    0.0985493904    0.1214303308
        157019       8    0.1111049420    0.1209478331
         77440       8    0.0973940067    0.1206944625
         74902       8    0.1030653171    0.1182874024
         81212       8    0.0775332224    0.1181999266
         97900       8    0.0938926147    0.1125843724
        128153       8    0.0875086553    0.1089961588
        124792       7    0.0783284130    0.1363978982
         72207       7    0.1093938842    0.1237932074
        141003       7    0.0921677849    0.1185003549
        114506       7    0.1039043960    0.1183428594
        136201       6    0.1169460990    0.1226678741
        149099       6    0.1123841375    0.1217960016
        108529       6    0.0959716468    0.1162098267
        139810       6    0.1041678446    0.1137168705
         80594       6    0.0938906761    0.1082793760
        100640       5    0.1232677967    0.1438661595
        121375       5    0.1080425365    0.1265453850
        124693       5    0.0930529742    0.1255548120
        152489       5    0.1167799062    0.1206944625
        129548       5    0.1108597611    0.1195421124
         98729       5    0.1017765916    0.1122437745
         66651       5    0.0912353632    0.1088621731
         79461       5    0.0885950353    0.1035451804
         74393       4    0.0920572263    0.1363978982
        127026       4    0.1188970784    0.1315984373
        132971       4    0.1160466716    0.1315984373
        109480       4    0.1057513873    0.1305305004
        108887       4    0.1042182149    0.1296582385
        141167       4    0.1186801604    0.1294454762
        133597       4    0.1106949218    0.1283306060
        103946       4    0.1118962505    0.1283033159
         86741       4    0.0996174321    0.1255498946
         79679       4    0.1096346894    0.1253526343
         82050       4    0.1094285783    0.1244583052
         77632       4    0.0910110517    0.1234894753
        160338       4    0.1099684979    0.1233860254
        159695       4    0.1113162347    0.1202420226
        114358       4    0.1134617529    0.1199433527
        122468       4    0.1101276093    0.1177521101
        114385       4    0.1043354312    0.1170299101
         68496       4    0.1043355395    0.1165854314
         76452       4    0.1014853782    0.1163131279
        122648       4    0.0988958027    0.1152747436
        125751       4    0.0924949616    0.1146048584
         81711       4    0.0843327241    0.1140641747
         80613       4    0.1009601029    0.1137076517
         92434       4    0.0790223475    0.1103306879
        120516       4    0.1001711811    0.1084597778
         66299       3    0.1083283334    0.1444980961
         76322       3    0.1003446472    0.1354239708
         77923       3    0.1193598007    0.1335098743
        109670       3    0.0953299058    0.1300745183
        135306       3    0.1119225547    0.1298593303
        109218       3    0.1226024819    0.1296531455
         77717       3    0.1148419429    0.1284283423
         83258       3    0.0863454327    0.1282099157
        104668       3    0.1094177466    0.1265453850
         81847       3    0.1102221189    0.1265453850
         86846       3    0.1159480950    0.1263705736
        131133       3    0.1114048565    0.1260595103
         84783       3    0.1111499032    0.1254876631
        136508       3    0.1172284394    0.1248910634
         90514       3    0.1153117164    0.1242914376
        130401       3    0.1136468112    0.1227151971
         88491       3    0.0967692442    0.1221217423
         86912       3    0.1066038783    0.1213966716
         93644       3    0.0933266347    0.1200128645
        103556       3    0.1032706381    0.1197803446
        160183       3    0.1058095314    0.1190856922
        127175       3    0.0972905006    0.1184171367
         89509       3    0.0993951962    0.1170838042
         91909       3    0.1084341786    0.1170002796
        114914       3    0.1132854957    0.1164616759
        107651       3    0.1149385991    0.1159540287
         67607       3    0.1110144712    0.1153720573
         75719       3    0.0982114408    0.1151378176
         71886       3    0.1065204672    0.1146759391
         79964       3    0.1105020808    0.1144601151
         91186       3    0.0720983816    0.1141859485
        110478       3    0.0610112795    0.1141167680
         86297       3    0.1063760474    0.1140960519
        153702       3    0.1123482050    0.1139663738
        159507       3    0.0922072369    0.1139663738
        135704       3    0.1085137891    0.1138039346
        114301       3    0.1049510053    0.1136260216
        118607       3    0.0942181309    0.1134192142
         71158       3    0.1046127117    0.1132535453
        141242       3    0.1090326026    0.1124526439
        131733       3    0.1047124476    0.1122592390
        120537       3    0.0774875278    0.1115106429
         83460       3    0.0845574409    0.1114319831
         97543       3    0.0991729739    0.1111720860
        109269       3    0.0866359995    0.1109885684
        151946       3    0.0964618089    0.1094956857
         68809       3    0.0761555878    0.1094093892
        119048       3    0.1052908208    0.1089115709
        120188       3    0.1072784840    0.1084732349
        132451       3    0.1024313437    0.1061019259
         79979       3    0.1013186475    0.1055055169
        109607       3    0.1018080855    0.1049782758
         88982       3    0.0908113498    0.1033892234
         78534       3    0.0798129641    0.1029022866
         81723       3    0.0854927532    0.1024852960
        148561       3    0.0854391192    0.0990282565
        140681       3    0.0882692169    0.0903019501
        139097       3    0.0431400822    0.0753582252
        120324       2    0.1262924314    0.1377917911
        111934       2    0.0880617567    0.1335733753
        156787       2    0.1275443592    0.1333472356
         76367       2    0.1223628361    0.1298546383
        121718       2    0.1258062619    0.1295515259
        132071       2    0.1095160154    0.1284283423
         88299       2    0.1052868720    0.1279417958
         97024       2    0.1160737454    0.1275592516
        109584       2    0.1176609591    0.1275311523
         78692       2    0.1155272152    0.1265453850
         86459       2    0.1001698042    0.1257730722
        135604       2    0.1205328120    0.1255405087
        123585       2    0.1233428401    0.1253526343
         73754       2    0.1180949061    0.1248910634
        122024       2    0.1042493797    0.1240372492
        143980       2    0.1178155273    0.1235317758
        118679       2    0.1216979746    0.1234421977
        129325       2    0.1206928992    0.1230719090
        100817       2    0.1187069948    0.1227680147
        131011       2    0.1215783814    0.1227377057
        119849       2    0.1093711518    0.1225790713
         70932       2    0.1064099801    0.1225586660
        113279       2    0.1180342814    0.1220609979
         74284       2    0.1122891540    0.1215096753
        160110       2    0.1207582850    0.1211423344
        116622       2    0.1119705252    0.1207371095
         97686       2    0.1174630617    0.1206004705
         98724       2    0.1186303519    0.1203733771
        101551       2    0.1172603824    0.1201951119
        142150       2    0.1138999899    0.1198548611
         85993       2    0.1147068158    0.1197302267
        135191       2    0.1166636042    0.1195594101
         94509       2    0.1168248292    0.1195594101
        135890       2    0.1156622657    0.1192700068
         87228       2    0.1185565441    0.1192643067
        126247       2    0.1186312237    0.1190270640
         78725       2    0.1098198857    0.1183428594
        128849       2    0.1094014198    0.1182526052
         74510       2    0.1164591675    0.1180715669
         66976       2    0.1078022877    0.1175546094
        130120       2    0.1130272331    0.1175470427
        169659       2    0.0939354699    0.1175452888
        139058       2    0.0857563662    0.1167216812
         74753       2    0.0968533502    0.1167097864
         66959       2    0.1009486468    0.1156078832
        102503       2    0.1104027913    0.1155479352
        102393       2    0.1134589280    0.1155229142
        112446       2    0.1137186443    0.1154404499
         96059       2    0.1118626012    0.1152245769
         96388       2    0.1112762874    0.1149741588
        104820       2    0.1133363889    0.1146759391
         95645       2    0.1071727620    0.1141707727
        135650       2    0.1104637083    0.1140960519
         85056       2    0.1021401940    0.1140641747
        102834       2    0.1124967555    0.1138550118
        130788       2    0.1054119402    0.1133107435
        130370       2    0.1038581419    0.1130227709
        116442       2    0.1083585852    0.1130188062
        141695       2    0.1095209557    0.1130188062
        121911       2    0.1072680285    0.1126052769
        126058       2    0.1029852255    0.1125024378
         81600       2    0.1076038705    0.1123114143
        110853       2    0.1089688418    0.1120232468
        133289       2    0.1065333865    0.1117624981
         76089       2    0.1087826606    0.1117624981
         96205       2    0.1108602965    0.1117595976
        124590       2    0.1097218713    0.1116673637
        163732       2    0.1102091458    0.1116673637
