molecule_name,final_score,epoch,available
rxn:2:130370:122772,0.1673163771629333,22334,True
rxn:2:131373:80888,0.1643388658761978,22334,True
rxn:2:125845:85686,0.1625623192105974,22334,True
rxn:2:131373:73041,0.1561843186616897,22334,True
rxn:2:125845:140099,0.1557594104246659,22334,True
rxn:2:130370:109025,0.1493257184823354,22334,True
rxn:2:88817:89937,0.1446540925813758,22334,True
rxn:2:131373:112961,0.137667566537857,22334,True
rxn:2:89710:142192,0.1231288194656372,22334,True
rxn:2:122569:166533,0.1193340122699737,22334,True
rxn:2:126818:155887,0.1145095353325208,22334,True
rxn:2:121431:133432,0.0252537455247796,22334,True
rxn:2:67883:173079,-0.0120416751929691,22334,True
rxn:2:130370:94543,0.1615890388687451,22339,True
rxn:2:89710:113963,0.1550085792938868,22339,True
rxn:2:130370:68807,0.1543035258849462,22339,True
rxn:2:89710:71323,0.1538091535153596,22339,True
rxn:2:125845:133432,0.1525268658347751,22339,True
rxn:2:131373:118876,0.1518606007099151,22339,True
rxn:2:125845:66791,0.150862764228474,22339,True
rxn:2:131373:109889,0.1506948173046112,22339,True
rxn:2:120516:134530,0.1480317960182825,22339,True
rxn:2:89710:82325,0.1479156389832496,22339,True
rxn:2:131373:134530,0.1477383732795715,22339,True
rxn:2:166916:155326,0.1471646839174731,22339,True
rxn:2:138608:122772,0.145618254939715,22339,True
rxn:2:166916:168999,0.1454517574145876,22339,True
rxn:2:131373:141812,0.1431725084781646,22339,True
rxn:2:122689:124578,0.1429647952318191,22339,True
rxn:2:131373:95441,0.1413233280181884,22339,True
rxn:2:166916:153989,0.1380615702697209,22339,True
rxn:2:169659:135906,0.1370643138885498,22339,True
rxn:2:89710:70151,0.1364505446475485,22339,True
rxn:2:166916:94543,0.1358321996835562,22339,True
rxn:2:117866:75079,0.1356877269952193,22339,True
rxn:2:136931:122772,0.1351422518491745,22339,True
rxn:2:139810:94410,0.1346867953737577,22339,True
rxn:2:89710:125091,0.1335047068803206,22339,True
rxn:2:122689:144543,0.1107000135458432,22339,True
rxn:2:108134:143624,-0.0028766904558454,22339,True
rxn:2:142093:90501,-0.0141502513929649,22339,True
rxn:2:131373:82325,0.1506734758615494,22341,True
rxn:2:131373:81125,0.149972116947174,22341,True
rxn:2:166916:165303,0.1494998233071689,22341,True
rxn:2:71158:122772,0.1491800819834073,22341,True
rxn:2:166916:89838,0.1487468552589416,22341,True
rxn:2:89710:94792,0.1473569947740306,22341,True
rxn:2:131373:109025,0.146556175890423,22341,True
rxn:2:89710:113626,0.1463459581136703,22341,True
rxn:2:125845:68807,0.1463234397498044,22341,True
rxn:2:126818:113963,0.1454981093605359,22341,True
rxn:2:130370:66791,0.1438800618052482,22341,True
rxn:2:131373:93243,0.1437747478485107,22341,True
rxn:2:119048:122772,0.1427303604457689,22341,True
rxn:2:89710:111364,0.1427018512850222,22341,True
rxn:2:93894:109025,0.1426702787478765,22341,True
rxn:2:166916:126659,0.141659345626831,22341,True
rxn:2:143189:122772,0.1412021288504967,22341,True
rxn:2:166916:82933,0.1394735941520104,22341,True
rxn:2:130370:96514,0.1389779150485992,22341,True
rxn:2:166916:165319,0.1384907508718556,22341,True
rxn:2:126227:164517,0.1384532111031668,22341,True
rxn:2:166916:144543,0.1382414187703813,22341,True
rxn:2:169659:122772,0.1379329538345337,22341,True
rxn:2:126818:66347,0.1333236227864804,22341,True
rxn:2:89710:122902,0.1329449311546657,22341,True
rxn:2:126818:94792,0.132004976272583,22341,True
rxn:2:131373:165398,0.1315912916546776,22341,True
rxn:2:89710:112961,0.1281204695502917,22341,True
rxn:2:88817:112961,0.1250176294283433,22341,True
rxn:2:89710:135636,0.1226277247719142,22341,True
rxn:2:118762:148666,0.108749141616206,22341,True
rxn:2:130370:67386,0.0452124619483947,22341,True
rxn:2:108600:113626,0.1570944786071777,22344,True
rxn:2:166916:118774,0.1548547983169555,22344,True
rxn:2:109375:122772,0.1499148582418759,22344,True
rxn:2:125845:150743,0.1489929271780926,22344,True
rxn:2:89710:115254,0.148845004538695,22344,True
rxn:2:89710:95623,0.1475957905252774,22344,True
rxn:2:125845:122855,0.1471456800188337,22344,True
rxn:2:122689:134530,0.1467194920000822,22344,True
rxn:2:166916:124273,0.1457665920257568,22344,True
rxn:2:131373:149040,0.1452389785221644,22344,True
rxn:2:89710:73041,0.144811525940895,22344,True
rxn:2:169659:84000,0.1447401195764541,22344,True
rxn:2:88449:166234,0.1433145227255644,22344,True
rxn:2:73830:135906,0.1429063255588213,22344,True
rxn:2:133760:87505,0.1416466832160949,22344,True
rxn:2:143189:95550,0.1412952886177943,22344,True
rxn:2:126818:71206,0.1409700331480606,22344,True
rxn:2:126818:119437,0.14076552702033,22344,True
rxn:2:166916:119826,0.1398352313041687,22344,True
rxn:2:104996:68807,0.1384252384305,22344,True
rxn:2:126818:70866,0.1367555396123365,22344,True
rxn:2:122689:122772,0.1359163721402486,22344,True
rxn:2:131373:106638,0.1355730068115961,22344,True
rxn:2:117866:68636,0.1351199409236078,22344,True
rxn:2:89710:89271,0.134835754831632,22344,True
rxn:2:126818:108691,0.1347857661869214,22344,True
rxn:2:166916:108959,0.0936391571393379,22344,True
rxn:2:108600:94792,0.0805875918139582,22344,True
rxn:2:120487:170839,0.0489230725695105,22344,True
rxn:2:166916:75079,0.1579749917984008,22353,True
rxn:2:126818:113626,0.1540889491637548,22353,True
rxn:2:89710:102427,0.1521605408709982,22353,True
rxn:2:89710:72130,0.1508552483890367,22353,True
rxn:2:66651:144543,0.1467746606579533,22353,True
rxn:2:139810:80888,0.1458288431167602,22353,True
rxn:2:89710:83009,0.145591580349466,22353,True
rxn:2:137210:109025,0.1455647274851799,22353,True
rxn:2:93894:66791,0.1452666868766149,22353,True
rxn:2:126818:125091,0.144028251585753,22353,True
rxn:2:88449:66791,0.1426287045081456,22353,True
rxn:2:93644:115754,0.1424046218395233,22353,True
rxn:2:166916:71150,0.1417875244067265,22353,True
rxn:2:126818:70151,0.141645496306212,22353,True
rxn:2:166916:142273,0.1412648005144936,22353,True
rxn:2:131373:89838,0.141156268119812,22353,True
rxn:2:88817:91297,0.1410659136979476,22353,True
rxn:2:89710:68079,0.1404463797807693,22353,True
rxn:2:125845:109025,0.1399756344881924,22353,True
rxn:2:130370:133432,0.1399410676956176,22353,True
rxn:2:166916:90126,0.1397354740362901,22353,True
rxn:2:110995:94410,0.1390573183695475,22353,True
rxn:2:89710:136493,0.1368972112735112,22353,True
rxn:2:166916:169537,0.1366901032386287,22353,True
rxn:2:126818:111075,0.1365473866462707,22353,True
rxn:2:89710:127250,0.1363907689633576,22353,True
rxn:2:166916:159064,0.1356750027886752,22353,True
rxn:2:88449:172618,0.1347322532763848,22353,True
rxn:2:89710:119437,0.134183671163476,22353,True
rxn:2:131373:107567,0.1331992972464788,22353,True
rxn:2:131373:114921,0.1330791335356863,22353,True
rxn:2:88449:159258,0.1326300214838098,22353,True
rxn:2:131373:78247,0.1314124550138201,22353,True
rxn:2:131373:115064,0.1299194991588592,22353,True
rxn:2:143189:122855,0.1266530561447143,22353,True
rxn:2:80594:122772,0.1248805249730746,22353,True
rxn:2:122153:112961,0.1235036551952362,22353,True
rxn:2:121618:122772,0.1144485473632812,22353,True
rxn:2:108636:102427,0.0989838864492333,22353,True
rxn:2:166916:144456,0.0937502209482521,22353,True
rxn:2:108600:95041,0.0809184298628852,22353,True
rxn:2:118974:151562,0.0797266099188062,22353,True
rxn:2:84393:134530,0.1550081670284271,22358,True
rxn:2:99046:122772,0.1508707900842031,22358,True
rxn:2:110995:80888,0.149962360660235,22358,True
rxn:2:89710:93598,0.14801102605733,22358,True
rxn:2:135979:107408,0.1469839629919632,22358,True
rxn:2:166916:85686,0.1461008524894714,22358,True
rxn:2:166916:111147,0.1442547165430509,22358,True
rxn:2:89710:123156,0.143877568244934,22358,True
rxn:2:125845:108287,0.1434289657551309,22358,True
rxn:2:126818:131177,0.1420674037933349,22358,True
rxn:2:166916:116842,0.1411169809954507,22358,True
rxn:2:93894:122772,0.1402925327420234,22358,True
rxn:2:126818:82371,0.1398908197879791,22358,True
rxn:2:166916:169340,0.1387387555221031,22358,True
rxn:2:131373:96094,0.1380945506848787,22358,True
rxn:2:130370:141213,0.1378639017542203,22358,True
rxn:2:166916:157840,0.1374227146307627,22358,True
rxn:2:169659:156520,0.1370222856258524,22358,True
rxn:2:78534:133432,0.1340579336339777,22358,True
rxn:2:145788:94543,0.1339447796344757,22358,True
rxn:2:137210:122772,0.1334882428248723,22358,True
rxn:2:131373:119786,0.1333338439464569,22358,True
rxn:2:125845:127220,0.1312620477242903,22358,True
rxn:2:139810:120822,0.1309128151490138,22358,True
rxn:2:166916:150247,0.1302581866582234,22358,True
rxn:2:88817:123156,0.1291368836941926,22358,True
rxn:2:89710:79566,0.1290425450905509,22358,True
rxn:2:89710:136989,0.1285570805723017,22358,True
rxn:2:135979:81125,0.1282752648643825,22358,True
rxn:2:130370:126659,0.1273275510124538,22358,True
rxn:2:88817:109423,0.125564202018406,22358,True
rxn:2:89710:130529,0.1253341188033422,22358,True
rxn:2:166916:123403,0.1221966481208801,22358,True
rxn:2:131373:106463,0.1200936209587823,22358,True
rxn:2:89710:111348,0.1168110992597497,22358,True
rxn:2:153177:168669,-0.0046908778529013,22358,True
rxn:2:88817:85897,0.1506858442140662,22360,True
rxn:2:131373:99129,0.1488068222999573,22360,True
rxn:2:108636:71323,0.1478784213895383,22360,True
rxn:2:121489:87505,0.1454636802275975,22360,True
rxn:2:89710:129487,0.1432487394498742,22360,True
rxn:2:122689:94543,0.1427574604749679,22360,True
rxn:2:166916:142664,0.1415953976767403,22360,True
rxn:2:89710:108691,0.141265799169955,22360,True
rxn:2:166916:85400,0.1411312772677495,22360,True
rxn:2:166916:109025,0.1404099762439727,22360,True
rxn:2:89710:136054,0.1400978217522303,22360,True
rxn:2:89710:106287,0.139961232309756,22360,True
rxn:2:89710:109794,0.1392092828949292,22360,True
rxn:2:89710:121469,0.138749490181605,22360,True
rxn:2:143189:90126,0.1381449699401855,22360,True
rxn:2:89710:123933,0.1377992580334345,22360,True
rxn:2:131373:91297,0.137663273584275,22360,True
rxn:2:67047:122772,0.1375695933466372,22360,True
rxn:2:117866:123605,0.1373596164313229,22360,True
rxn:2:99046:68807,0.1367793728907903,22360,True
rxn:2:89710:118439,0.1364081621170044,22360,True
rxn:2:130370:135906,0.1362313479185104,22360,True
rxn:2:89710:79036,0.1360522036751111,22360,True
rxn:2:131373:96937,0.1360166186378115,22360,True
rxn:2:148561:118774,0.1354242467880249,22360,True
rxn:2:66651:94543,0.1348767018318176,22360,True
rxn:2:166916:170828,0.1347374299476886,22360,True
rxn:2:89710:107741,0.134282444914182,22360,True
rxn:2:143189:116515,0.1338579517144423,22360,True
rxn:2:89710:123403,0.133782426516215,22360,True
rxn:2:122689:142664,0.1325699916252723,22360,True
rxn:2:89710:164585,0.1303851795196533,22360,True
rxn:2:71158:68807,0.1303685903549194,22360,True
rxn:2:89710:120359,0.1302604178587595,22360,True
rxn:2:131373:135906,0.129264269556318,22360,True
rxn:2:119048:113963,0.1270344474098899,22360,True
rxn:2:117866:113626,0.1238258247790129,22360,True
rxn:2:131373:78894,0.1235521090658087,22360,True
rxn:2:78534:66791,0.1228323096320742,22360,True
rxn:2:78534:140099,0.1177124806812831,22360,True
rxn:2:131373:122772,0.1139657241957528,22360,True
rxn:2:166916:169851,0.1089025345341912,22360,True
rxn:2:89710:122193,0.147636259595553,22366,True
rxn:2:73830:122772,0.1456662937998771,22366,True
rxn:2:166916:155572,0.1450979665473655,22366,True
rxn:2:166916:128413,0.1448560428619384,22366,True
rxn:2:89710:95401,0.1434313939965289,22366,True
rxn:2:166916:139516,0.1429671144485473,22366,True
rxn:2:166916:86408,0.1423287620911231,22366,True
rxn:2:126818:111364,0.1418450034183004,22366,True
rxn:2:86247:87505,0.1404216786225637,22366,True
rxn:2:166916:107287,0.1402182493891035,22366,True
rxn:2:89710:74816,0.1392738456311433,22366,True
rxn:2:112606:159258,0.1391397164418147,22366,True
rxn:2:126818:105101,0.138483338356018,22366,True
rxn:2:166916:153725,0.1379857515466624,22366,True
rxn:2:103380:112961,0.1375315552172453,22366,True
rxn:2:131373:156124,0.136937382320563,22366,True
rxn:2:126818:129023,0.1363377571105957,22366,True
rxn:2:166916:96010,0.1350890168776879,22366,True
rxn:2:126818:118439,0.1347784185409546,22366,True
rxn:2:89710:106275,0.1342762034872303,22366,True
rxn:2:112862:87505,0.1336874564488729,22366,True
rxn:2:135979:110041,0.1336180645486583,22366,True
rxn:2:119048:141213,0.1334341919940451,22366,True
rxn:2:108636:113626,0.1325646564364433,22366,True
rxn:2:131907:85686,0.1323285281658172,22366,True
rxn:2:89710:118411,0.1315719303877457,22366,True
rxn:2:87535:68807,0.1311452768065712,22366,True
rxn:2:131373:90175,0.130591166646857,22366,True
rxn:2:122534:87505,0.129459410905838,22366,True
rxn:2:122689:144983,0.1290121399439298,22366,True
rxn:2:131907:115754,0.1284634308381514,22366,True
rxn:2:131373:148834,0.1269620345986407,22366,True
rxn:2:126818:77210,0.1263901409895523,22366,True
rxn:2:89710:130338,0.1263392468293508,22366,True
rxn:2:108636:125091,0.1260828298071156,22366,True
rxn:2:99046:94543,0.1256429602702458,22366,True
rxn:2:125845:170223,0.1249166250228881,22366,True
rxn:2:126818:71323,0.1230133098104725,22366,True
rxn:2:89710:103995,0.1220732875492261,22366,True
rxn:2:130370:142192,0.1210689395666122,22366,True
rxn:2:117866:141812,0.1209543554679207,22366,True
rxn:2:133219:112961,0.1209115927869623,22366,True
rxn:2:89710:103810,0.1194343152253524,22366,True
rxn:2:108636:134530,0.1178410947322845,22366,True
rxn:2:89710:92855,0.1162987649440765,22366,True
rxn:2:131373:131177,0.1136262700671241,22366,True
rxn:2:131373:89191,0.107859718799591,22366,True
rxn:2:117866:131675,0.1068289404114087,22366,True
rxn:2:126818:128808,0.1444828873095305,22369,True
rxn:2:119048:113626,0.1437800580804998,22369,True
rxn:2:89710:97114,0.1421076655387878,22369,True
rxn:2:138608:94543,0.1420684109131495,22369,True
rxn:2:125845:164585,0.1419186158613725,22369,True
rxn:2:89710:116063,0.1407144909555261,22369,True
rxn:2:125845:92027,0.1398034635044279,22369,True
rxn:2:114225:85686,0.1386089779081799,22369,True
rxn:2:130775:77135,0.1378817972929581,22369,True
rxn:2:130370:172618,0.1374543584310091,22369,True
rxn:2:120516:94410,0.1374503299593925,22369,True
rxn:2:148561:122772,0.1370616601063655,22369,True
rxn:2:126818:111273,0.1363167659096096,22369,True
rxn:2:78534:135906,0.1355636971337454,22369,True
rxn:2:125845:172618,0.1355090613166491,22369,True
rxn:2:89710:76601,0.13530606508255,22369,True
rxn:2:73830:141812,0.1346876776736715,22369,True
rxn:2:143189:170892,0.1345277513776506,22369,True
rxn:2:131373:85686,0.1344529926776886,22369,True
rxn:2:73830:166234,0.1336541021311724,22369,True
rxn:2:131373:149815,0.1328648612612769,22369,True
rxn:2:125845:94292,0.1312199831008911,22369,True
rxn:2:108636:115254,0.1309858858585357,22369,True
rxn:2:131373:68311,0.1307273081370762,22369,True
rxn:2:126818:122902,0.1304326187009396,22369,True
rxn:2:131373:72130,0.1299007723205968,22369,True
rxn:2:89710:90175,0.1289162428482719,22369,True
rxn:2:131373:164585,0.1287042072841099,22369,True
rxn:2:101097:97945,0.1279147034106047,22369,True
rxn:2:89710:94314,0.1256049672762552,22369,True
rxn:2:93173:112961,0.1254162354902787,22369,True
rxn:2:125845:170000,0.1209454470210605,22369,True
rxn:2:116100:142273,0.1185737124511173,22369,True
rxn:2:120402:122772,0.1178898552189702,22369,True
rxn:2:83428:66791,0.1175266991962086,22369,True
rxn:2:165591:112961,0.1174219140300044,22369,True
rxn:2:89710:106846,0.1173592624456986,22369,True
