Reactant analysis summary
========================================================================
Source:    /root/workspace/nova-4090/data/rxn3.csv
Molecules: 3269
Detail:    /root/workspace/nova-4090/data/rxn3_reactant_analysis.csv

------------------------------------------------------------------------
Position 1  (90 unique reactants)
------------------------------------------------------------------------
   reactant_id   count       avg_score       max_score
         50803     815    0.0903147488    0.1075824788
         60338     768    0.0907524286    0.1044789798
         60580     330    0.0921276225    0.1214553241
         60582     305    0.0924883623    0.1213998651
         59820     211    0.0856196986    0.1010685861
         49156     170    0.0972006934    0.1178410629
         50151      95    0.1105787705    0.1215421836
         41420      78    0.0894972481    0.1042820292
         60638      46    0.0897119401    0.1000705977
         47746      34    0.0805721730    0.0938635275
         56855      33    0.0896173800    0.1003759214
         49499      31    0.0784995858    0.0872594485
         59969      29    0.0812535323    0.0881820389
         43541      28    0.0910780801    0.1028635117
         61918      21    0.0913263314    0.1086584288
         61930      20    0.0885412566    0.1078344802
         60340      19    0.0872932668    0.0988103863
         49821      17    0.1031017507    0.1143476804
         43543      14    0.0711391578    0.0886060942
         42926      13    0.0899447570    0.0958991498
         59937      12    0.0800600092    0.0885106723
         61929      11    0.0891198541    0.1095560748
         62550      10    0.0810695474    0.0876777619
         59446       9    0.0813654058    0.0978551198
         43162       9    0.0794347591    0.0843341147
         49517       8    0.0737853985    0.0879193930
         60054       8    0.0822255296    0.0861297250
         42680       7    0.0734351688    0.0866961400
         56474       7    0.0704948020    0.0762192441
         59818       6    0.0776945086    0.0917110393
         52746       6    0.0662531343    0.0722000241
         53954       4    0.1096216386    0.1103976150
         62154       4    0.0950806704    0.1099096413
         59990       4    0.0953140688    0.1082741916
         51422       4    0.0970530210    0.1020214490
         52717       4    0.0894811913    0.0914710725
         50439       3    0.0881309980    0.1078014935
         50658       3    0.0946909187    0.1008222085
         59823       3    0.0871844301    0.0901983766
         41421       3    0.0713352003    0.0792393397
         56120       3    0.0650824978    0.0694244959
         44848       3    0.0616647808    0.0690693999
         55586       2    0.0935092466    0.1022027156
         42129       2    0.0925209214    0.0976310905
         60368       2    0.0892075768    0.0947266035
         62479       2    0.0937450279    0.0943488618
         40791       2    0.0918751329    0.0920658012
         62284       2    0.0843213752    0.0917994993
         49485       2    0.0870842148    0.0917446282
         40856       2    0.0845703781    0.0907405972
         43542       2    0.0901517597    0.0905204052
         62819       2    0.0758470866    0.0898509423
         56164       2    0.0890897194    0.0894132672
         61928       2    0.0822696910    0.0833698449
         54411       2    0.0706879412    0.0776826143
         43458       1    0.1088629663    0.1088629663
         49115       1    0.1026708762    0.1026708762
         58133       1    0.0969135500    0.0969135500
         40749       1    0.0909230895    0.0909230895
         40071       1    0.0899148863    0.0899148863
         54406       1    0.0893221227    0.0893221227
         49508       1    0.0884591332    0.0884591332
         43197       1    0.0880908566    0.0880908566
         62323       1    0.0876305012    0.0876305012
         63038       1    0.0874632969    0.0874632969
         52219       1    0.0855046399    0.0855046399
         45154       1    0.0854468495    0.0854468495
         46256       1    0.0847979821    0.0847979821
         43509       1    0.0838707839    0.0838707839
         51871       1    0.0836551385    0.0836551385
         52483       1    0.0834073609    0.0834073609
         43166       1    0.0823397433    0.0823397433
         60588       1    0.0816801231    0.0816801231
         40863       1    0.0775533199    0.0775533199
         42685       1    0.0758823242    0.0758823242
         43417       1    0.0753999969    0.0753999969
         60038       1    0.0711528149    0.0711528149
         54403       1    0.0694874827    0.0694874827
         52723       1    0.0685849182    0.0685849182
         52965       1    0.0682611599    0.0682611599
         52967       1    0.0676978000    0.0676978000
         43073       1    0.0676326179    0.0676326179
         55763       1    0.0665050004    0.0665050004
         62782       1    0.0663821088    0.0663821088
         43164       1    0.0640771409    0.0640771409
         52963       1    0.0630116835    0.0630116835
         42917       1    0.0610587146    0.0610587146
         43200       1    0.0560090899    0.0560090899
         40057       1    0.0497897818    0.0497897818
         40792       1    0.0420967156    0.0420967156

------------------------------------------------------------------------
Position 2  (381 unique reactants)
------------------------------------------------------------------------
   reactant_id   count       avg_score       max_score
         23188     152    0.0907475147    0.1075824788
         38333     149    0.0906949616    0.1141920110
          2123     120    0.0910032316    0.0997637255
          2503     116    0.1097693699    0.1215421836
         12191     112    0.0885395611    0.1039904048
         32416     106    0.0906274197    0.1023196616
          6422      99    0.1061430511    0.1163236745
         32621      94    0.0919578546    0.1030213651
          3205      86    0.0919569284    0.1019712550
         32622      85    0.0919862779    0.1013997793
          2758      79    0.0906150501    0.1003504831
          6549      71    0.0890581223    0.1019389848
         11968      67    0.0909055562    0.1044789798
           881      63    0.0904307452    0.1063825709
         12104      61    0.0895339174    0.0996336431
           927      60    0.0893087515    0.0995679642
         23186      56    0.0913680301    0.1000705977
          6155      55    0.0903816524    0.0988410558
          6427      51    0.1017528063    0.1178410629
         39714      41    0.0910078403    0.0999207815
          8716      41    0.0896444538    0.0979359035
           808      37    0.0899599172    0.0960634649
