# Reactant analysis
# source: /root/workspace/nova-4090/data/rxn3.csv
# molecules_analyzed: 7997
# reactant_position: 1 = first reactant after rxn:N, 2 = second, 3 = third (if present)
# sorted within each position by count (desc), then max_score (desc)
reactant_position,reactant_id,count,avg_score,max_score
1,54545,917,-4.8047433340,0.1244104553
1,59937,792,-3.6837422265,0.1268698411
1,52876,623,-1.5042985617,0.1309995111
1,59969,394,0.0978496256,0.1217384709
1,54200,329,0.0965039558,0.1209297912
1,60054,295,0.0960518565,0.1164845607
1,52219,235,0.0928611077,0.1169897165
1,52491,204,0.0930062470,0.1134556915
1,54615,185,-2.6051484977,0.1225003943
1,52959,185,0.0950523839,0.1150486590
1,59958,177,0.0920403214,0.1171648762
1,52743,165,0.0952262594,0.1174215016
1,59446,155,0.0858724687,0.1132685810
1,61918,137,-10.8554629967,0.1224188025
1,53630,137,0.0967888500,0.1183173735
1,61930,121,-12.3041093422,0.1180651022
1,46365,115,0.0920522403,0.1124921318
1,60038,93,0.0918354800,0.1152355700
1,54428,86,0.0976734782,0.1193628956
1,54194,86,0.0954494790,0.1157527357
1,54431,83,0.0949876851,0.1166359379
1,53632,77,0.0898175824,0.1093003169
1,52966,76,0.0905419695,0.1130878986
1,50151,73,0.0355637618,0.0786021175
1,53954,70,0.0942096436,0.1154106058
1,51872,68,0.0930599451,0.1147441069
1,54621,64,0.0903501977,0.1148219362
1,52484,63,0.0932227694,0.1089428687
1,52746,62,0.0971924203,0.1128163557
1,62550,56,0.0931049330,0.1133149889
1,54432,56,0.0840555683,0.1102319413
1,54100,55,0.0946604590,0.1116984236
1,60580,54,0.0499297229,0.1133258625
1,49156,53,0.0668098984,0.1203613145
1,52962,48,0.0921632040,0.1168056235
1,40071,48,0.0954478229,0.1085581626
1,56329,47,0.0855153959,0.1047416724
1,60368,46,0.0941398898,0.1117343996
1,64509,45,0.0918713497,0.1132709607
1,51870,45,0.0892004529,0.1118089921
1,60582,43,0.0460472959,0.1083456811
1,53843,43,0.0904370592,0.1071110053
1,54427,42,0.0940238521,0.1124735020
1,49499,39,0.0966239900,0.1143286698
1,49485,38,0.0941012036,0.1065436397
1,43458,35,0.0868635608,0.1180625801
1,54396,34,0.0943972746,0.1101727004
1,61524,33,0.0818281459,0.1105488022
1,52965,32,0.0892972496,0.1051092640
1,53235,29,0.0924044285,0.1092787338
1,52722,28,0.0954664271,0.1116081331
1,54620,27,0.0964100736,0.1094236771
1,59818,26,0.0940914397,0.1058834083
1,61523,25,0.0953704579,0.1097387816
1,59842,24,0.1117884709,0.1297882103
1,54405,24,0.0938973634,0.1130847372
1,52381,23,0.0875445333,0.1062470729
1,54411,21,0.0897033034,0.1165501972
1,49821,21,0.0584608059,0.1062816324
1,56510,21,0.0903797377,0.1055442299
1,54192,21,0.0933353486,0.1043308950
1,56474,20,0.0879812485,0.1176628023
1,64208,19,0.0944842052,0.1106230430
1,53634,19,0.0874020097,0.1074166878
1,52717,18,0.0658742989,0.1060386961
1,55245,18,0.0846766583,0.1033528552
1,56856,17,0.0926391379,0.1084815783
1,58334,17,0.0734183194,0.1072201148
1,57294,16,0.0859154817,0.1063692312
1,53957,16,0.0918178814,0.1026661754
1,58257,15,0.0963913420,0.1088057231
1,46060,15,0.0837902144,0.1076639329
1,50439,15,0.0749929544,0.1052585464
1,50150,14,0.0788540919,0.1140756488
1,50873,13,0.0910155199,0.1129164178
1,56461,13,0.0863447705,0.1016277123
1,52707,12,0.0856553544,0.1064092146
1,51006,12,0.0879886377,0.1053701456
1,53691,11,0.0887278853,0.0996857536
1,53842,11,0.0875628979,0.0983412945
1,50034,11,0.0851042552,0.0979097540
1,54804,10,0.0938870946,0.1037360203
1,54617,10,0.0889048796,0.1026932995
1,52482,10,0.0901623015,0.0987662630
1,54518,9,0.0712235893,0.1114649450
1,55584,9,0.0858378037,0.1032093406
1,52748,8,0.0943628113,0.1081608683
1,56732,8,0.0823659596,0.1012010123
1,62479,8,0.0601882750,0.0826188290
1,43417,7,0.1157771580,0.1235601767
