molecule_name,final_score,epoch
rxn:3:55915:3268:88237,0.1415736325855912,22610
rxn:3:55915:6428:113646,0.1389225269186085,22610
rxn:3:55915:1371:88237,0.138093050183921,22610
rxn:3:62819:31952:125245,0.1378920818197316,22610
rxn:3:44002:7707:113646,0.1356385419001946,22610
rxn:3:55915:2625:88237,0.1350966609757522,22610
rxn:3:55915:35065:88237,0.1342709064483642,22610
rxn:3:61918:1154:89995,0.1333860073770795,22610
rxn:3:62819:38843:88237,0.1333219110965728,22610
rxn:3:55586:38411:113646,0.1332810306549072,22610
rxn:3:62819:27843:113646,0.1331389854694235,22610
rxn:3:55586:1179:113646,0.1327080240956059,22610
rxn:3:61930:7707:130992,0.1326651939978966,22610
rxn:3:62819:38579:88237,0.1316303355353219,22610
rxn:3:42129:3937:88237,0.1305355807145436,22610
rxn:3:55915:38843:88237,0.1302944620450337,22610
rxn:3:55915:2623:88237,0.129749532403617,22610
rxn:3:61918:38324:112523,0.1295797515798498,22610
rxn:3:62819:8783:113646,0.1291143068900475,22610
rxn:3:62819:37853:125245,0.1291086762039749,22610
rxn:3:61918:35065:105021,0.1289964649412367,22610
rxn:3:61918:7707:130992,0.1287447076577406,22610
rxn:3:62819:37853:113646,0.1287234746492826,22610
rxn:3:61930:357:104845,0.1270438300238715,22610
rxn:3:62819:38880:125245,0.1251303266595911,22610
rxn:3:61918:357:103418,0.1190277492558514,22610
rxn:3:59818:38411:88237,0.0668244724688322,22610
rxn:3:61918:7658:71470,0.060868809223175,22610
rxn:3:59818:2125:94481,0.0416929055936634,22610
rxn:3:55465:18693:84107,0.039729438115691,22610
rxn:3:59818:39269:102338,0.0195036152643816,22610
rxn:3:61930:12067:117406,0.0175821093412546,22610
rxn:3:59818:2125:81308,0.0077685730591897,22610
rxn:3:60038:2227:94481,0.0015782428284486,22610
rxn:3:55915:38843:113646,0.1379597109297047,22612
rxn:3:61918:1154:112523,0.1352064396653856,22612
rxn:3:55915:6428:88237,0.1345038791497548,22612
rxn:3:61930:38879:112523,0.134263100368636,22612
rxn:3:55915:1900:113646,0.1342141071955363,22612
rxn:3:61918:357:104845,0.1340962780846489,22612
rxn:3:61918:38894:89995,0.1340214333363941,22612
rxn:3:42129:12215:113646,0.1336264248405184,22612
rxn:3:55915:11990:113646,0.1330856835400616,22612
rxn:3:42129:2089:113646,0.1328473591804504,22612
rxn:3:55586:2089:125245,0.1328457125595637,22612
rxn:3:62819:27843:88237,0.1327526489893595,22612
rxn:3:55586:1848:125245,0.1323254704475402,22612
rxn:3:55915:35065:113646,0.1313520669937133,22612
rxn:3:55915:6419:113646,0.1310717360726718,22612
rxn:3:42129:3937:113646,0.1305275662191982,22612
rxn:3:55586:29621:113646,0.1301941672960917,22612
rxn:3:62819:38579:113646,0.1301553933708756,22612
rxn:3:62819:39774:113646,0.1299654985296315,22612
rxn:3:44002:1305:113646,0.1297353987510387,22612
rxn:3:61918:12067:117406,0.1296689005998464,22612
rxn:3:44002:39358:88237,0.1291113793849945,22612
rxn:3:62819:35065:88237,0.1274186894297599,22612
rxn:3:61930:1154:112523,0.1257900404078619,22612
rxn:3:61930:357:103418,0.1253461749465377,22612
rxn:3:59818:31381:127622,0.0461698732068461,22612
rxn:3:59818:879:121938,0.0357756951162892,22612
rxn:3:56103:31226:127360,0.0302967912620968,22612
rxn:3:52731:6443:170513,0.0270434478297829,22612
rxn:3:59818:31381:102338,0.0237087266099068,22612
rxn:3:44002:35065:125245,0.1348982957693246,22613
rxn:3:55586:38879:113646,0.1339486241340637,22613
rxn:3:55915:35051:113646,0.1337633773132606,22613
rxn:3:62819:38335:125245,0.1332513135055016,22613
rxn:3:55915:3197:88237,0.1316529121892205,22613
rxn:3:62819:31952:113646,0.1292962006160191,22613
rxn:3:62819:39459:113646,0.1289375743695668,22613
rxn:3:62819:3197:88237,0.1286730560763128,22613
rxn:3:55915:38974:88237,0.1281363070011139,22613
rxn:3:55915:1251:88237,0.127434817808015,22613
rxn:3:62819:6427:125245,0.1273842803363142,22613
rxn:3:55915:1848:134818,0.1273030823674695,22613
rxn:3:62819:963:88237,0.1266132486718041,22613
rxn:3:55915:38880:113646,0.126085510620704,22613
rxn:3:55915:1371:113646,0.1257233981575284,22613
rxn:3:61930:38879:89995,0.1246456376143864,22613
rxn:3:61930:357:102725,0.1241440574328104,22613
rxn:3:62819:3268:88237,0.1224760495383164,22613
rxn:3:55915:2625:113646,0.1222726830414363,22613
rxn:3:61930:38764:130992,0.1203250907934629,22613
rxn:3:55586:38411:88237,0.1198072525171133,22613
rxn:3:55915:31724:113646,0.1048077114166751,22613
rxn:3:59818:23824:79051,0.0291714668273925,22613
rxn:3:59818:2659:116055,0.0259373039007186,22613
rxn:3:59818:11711:115392,0.0122532431156404,22613
rxn:3:55915:38324:125245,0.1368752351173987,22620
rxn:3:61918:357:102725,0.1361176746862906,22620
rxn:3:42129:38372:113646,0.1337266472669748,22620
rxn:3:44002:1179:88237,0.1327617389184457,22620
rxn:3:61918:38894:112523,0.1317601374217442,22620
rxn:3:44002:31939:113646,0.1316234531073734,22620
rxn:3:62819:1371:88237,0.1309125834497912,22620
rxn:3:61930:35065:105021,0.1303376003547951,22620
rxn:3:62819:1371:113646,0.1301905683108738,22620
rxn:3:55586:357:125245,0.1299551469939095,22620
rxn:3:62819:39087:134963,0.1294621229171753,22620
rxn:3:55586:3937:113646,0.1283069291422444,22620
rxn:3:62819:37769:113646,0.1270157144619868,22620
rxn:3:62819:14600:113646,0.1268067894310786,22620
rxn:3:55915:2623:113646,0.1261254165853773,22620
rxn:3:61930:38879:93583,0.1251959800720214,22620
rxn:3:55586:37853:125245,0.1250080307324727,22620
rxn:3:61930:1067:127434,0.1244668651510168,22620
rxn:3:55915:38324:88237,0.1239446011873392,22620
rxn:3:55586:1179:125245,0.1236897451536996,22620
rxn:3:55586:38879:88237,0.1235574046770731,22620
rxn:3:50151:1179:113646,0.12278898420005,22620
rxn:3:50151:37853:125245,0.1214378327131271,22620
rxn:3:55915:35117:88237,0.1210004849867387,22620
rxn:3:61918:357:91220,0.117591048280398,22620
rxn:3:61930:38894:89995,0.1145142955439431,22620
rxn:3:61930:2089:104845,0.1081529149302729,22620
rxn:3:59818:8711:113646,0.0764825629151385,22620
rxn:3:59820:2092:113646,0.0755707896672762,22620
rxn:3:59818:82:113646,0.0742727708816528,22620
rxn:3:59820:38411:113646,0.068864197731018,22620
rxn:3:59818:39535:113646,0.0678774764140447,22620
rxn:3:59818:2099:113646,0.0678357084592183,22620
rxn:3:40071:2227:113646,0.0656408848969832,22620
rxn:3:61930:1154:89995,0.0646245176238673,22620
rxn:3:42129:38411:88237,0.1370384842157364,22625
rxn:3:50151:38879:113646,0.1338875639823175,22625
rxn:3:62819:2877:125245,0.1328813014207062,22625
rxn:3:55915:39443:88237,0.1311724285284678,22625
rxn:3:55915:3268:113646,0.1309768280812672,22625
rxn:3:61930:38324:112523,0.1307573031496118,22625
rxn:3:44002:38764:113646,0.1305209169021019,22625
rxn:3:55915:38534:113646,0.1296342994485582,22625
rxn:3:55915:38335:113646,0.1293706723621913,22625
rxn:3:62819:39774:88237,0.1293674270311991,22625
rxn:3:55915:38943:113646,0.1293507539308988,22625
rxn:3:62819:22937:142033,0.1288110828399658,22625
rxn:3:55915:27843:113646,0.1281068900535846,22625
rxn:3:55915:27845:88237,0.1273148814837137,22625
rxn:3:55915:37853:113646,0.1264799604049095,22625
rxn:3:62819:29488:113646,0.1264422919069017,22625
rxn:3:62819:24904:113646,0.1263726183346339,22625
rxn:3:55915:38166:113646,0.1259903383255005,22625
rxn:3:62819:35821:125245,0.1252873752798353,22625
rxn:3:44002:39055:88237,0.1252517819404602,22625
rxn:3:61930:38894:112523,0.1246142174516405,22625
rxn:3:61918:7707:95366,0.1241435156418727,22625
rxn:3:55465:37853:113646,0.1240092813968658,22625
rxn:3:42129:395:88237,0.1234965165456136,22625
rxn:3:55915:18243:113646,0.1234346339779515,22625
rxn:3:55915:38411:88237,0.1214835669683373,22625
rxn:3:61918:39336:104845,0.1190763027579696,22625
rxn:3:55915:6427:113646,0.1188049635716847,22625
rxn:3:62819:35051:125245,0.1187248740877423,22625
rxn:3:61930:357:77128,0.1177381944656372,22625
rxn:3:55915:6425:113646,0.1111522090846094,22625
rxn:3:59820:39535:88237,0.0855810301644461,22625
rxn:3:59818:3297:113646,0.0728746419367582,22625
rxn:3:59818:12184:113646,0.0647092736684359,22625
rxn:3:59818:2088:113646,0.0618217885494232,22625
rxn:3:59818:2648:115392,0.0312227799046424,22625
rxn:3:59818:879:127570,0.0295685023069381,22625
rxn:3:59818:2125:102338,0.0223123661933406,22625
rxn:3:62819:4578:88237,0.1341060215029223,22629
rxn:3:61918:38764:130992,0.1332953755672161,22629
rxn:3:55915:1964:113646,0.1325630832601476,22629
rxn:3:61918:39336:77976,0.1324119468530019,22629
rxn:3:52219:1848:113646,0.1307734660804271,22629
rxn:3:55915:38324:113646,0.1304162311553955,22629
rxn:3:61930:7707:80788,0.1294570763905843,22629
rxn:3:55586:38894:113646,0.1292175897236528,22629
rxn:3:62819:1154:125245,0.1291912705809981,22629
rxn:3:55915:39480:88237,0.1284988011632646,22629
rxn:3:61918:34501:105021,0.1284112121377672,22629
rxn:3:55915:1067:125245,0.1282893992387331,22629
rxn:3:55915:6427:88237,0.1279245799985425,22629
rxn:3:59882:2625:113646,0.1275302952733533,22629
rxn:3:55915:13824:113646,0.1274393584047045,22629
rxn:3:62819:6419:113646,0.1274316763055735,22629
rxn:3:61930:7707:95366,0.12708835876905,22629
rxn:3:61918:38879:112523,0.1269198485783168,22629
rxn:3:61918:357:130992,0.1267485916614532,22629
rxn:3:62819:22566:125245,0.1265052159627278,22629
rxn:3:55586:38879:125245,0.126181008418401,22629
rxn:3:42129:8654:113646,0.1260367855429649,22629
rxn:3:61930:38879:93235,0.1256963929959706,22629
rxn:3:55915:8783:113646,0.1252015989560347,22629
rxn:3:42129:39087:134963,0.1250974585612615,22629
rxn:3:61918:38879:89995,0.1241608049188341,22629
rxn:3:61918:1067:104845,0.1225525992257254,22629
rxn:3:59882:37853:125245,0.1223214460270745,22629
rxn:3:42129:3297:113646,0.1217091530561447,22629
rxn:3:61918:38843:105021,0.1202101597079524,22629
rxn:3:61918:38764:80788,0.1173718417132342,22629
rxn:3:61918:7658:91220,0.1106354999542236,22629
rxn:3:59820:3122:113646,0.0620736810896131,22629
rxn:3:59818:6515:113646,0.058937398592631,22629
rxn:3:59818:2659:94481,0.0486282147467136,22629
rxn:3:59818:879:128301,0.0249789309288774,22629
rxn:3:59818:6513:115392,0.0103644127647082,22629
rxn:3:59818:6550:115392,0.0082428881834293,22629
rxn:3:62819:38879:125245,0.1328093321235091,22630
rxn:3:62819:6427:142033,0.1304068256307531,22630
rxn:3:55915:38943:88237,0.1300308505694071,22630
rxn:3:55915:6441:113646,0.1294738568108657,22630
rxn:3:62819:31474:113646,0.1290134986241658,22630
rxn:3:62819:38843:113646,0.1289239137069038,22630
rxn:3:62819:1683:125245,0.1287103847221092,22630
rxn:3:55586:179:125245,0.1280191779136657,22630
rxn:3:62819:7657:113646,0.1280105572480421,22630
rxn:3:61918:1067:127434,0.1279105831075597,22630
rxn:3:62819:37782:125245,0.1272635672773633,22630
rxn:3:62819:27845:88237,0.1247472802797953,22630
rxn:3:42129:1912:125245,0.1247418706233684,22630
rxn:3:55915:2877:113646,0.1246605377930861,22630
rxn:3:55586:29621:88237,0.1246563153607504,22630
rxn:3:55915:28569:113646,0.1246129958717911,22630
rxn:3:62819:27788:88237,0.1204834500948588,22630
rxn:3:61930:34501:105021,0.1181667830262865,22630
rxn:3:61930:357:91220,0.1147870421409607,22630
rxn:3:62819:1964:113646,0.1109592936657093,22630
rxn:3:61930:7658:71470,0.0567550206184387,22630
rxn:3:61918:357:105021,0.13374432495662145,22633
rxn:3:55915:38879:125245,0.1317646547600075,22633
rxn:3:55915:27802:113646,0.13062475408826554,22633
rxn:3:55915:34501:88237,0.1296409273147583,22633
rxn:3:42129:39055:125245,0.12909560779045368,22633
rxn:3:55915:1848:125245,0.1278587456407218,22633
rxn:3:50151:29621:113646,0.1278263289352943,22633
rxn:3:61918:357:102854,0.12736890571457998,22633
rxn:3:61930:2089:103418,0.1273134880595737,22633
rxn:3:55586:39443:113646,0.12730251596524164,22633
rxn:3:42129:8706:88237,0.12716984351476032,22633
rxn:3:55586:179:88237,0.12715388337771097,22633
rxn:3:61918:357:89995,0.12714850902557373,22633
rxn:3:62819:8783:125245,0.12687088825084544,22633
rxn:3:62819:39264:113646,0.12658025478494578,22633
rxn:3:62819:6418:113646,0.12645324345292716,22633
rxn:3:62819:5439:113646,0.12610625475645065,22633
rxn:3:55586:38324:113646,0.12580052656786783,22633
rxn:3:61930:357:102854,0.12568822290216172,22633
rxn:3:50151:38879:88237,0.12516538798809052,22633
rxn:3:55915:38335:88237,0.12477859546398294,22633
rxn:3:62819:38324:125245,0.12465228254978473,22633
rxn:3:55915:7082:88237,0.1246217382805688,22633
rxn:3:62819:6424:142033,0.12406386710979321,22633
rxn:3:55915:8610:88237,0.12360080768322122,22633
rxn:3:61930:6427:102705,0.12322794157883217,22633
rxn:3:62819:38974:113646,0.1230540016423101,22633
rxn:3:61930:7658:84793,0.12292651946728046,22633
rxn:3:62819:1848:88237,0.12181114944918402,22633
rxn:3:55586:1848:136811,0.12130423567511818,22633
rxn:3:42129:2489:125245,0.12092884823128029,22633
rxn:3:55586:38894:125245,0.12090107202529907,22633
rxn:3:55915:3054:88237,0.12020582675933839,22633
rxn:3:45558:1179:88237,0.12016193513517026,22633
rxn:3:55915:31952:125245,0.1199618989023669,22633
rxn:3:61930:38764:80788,0.11904494409207944,22633
rxn:3:61918:2089:102725,0.11846921179029676,22633
rxn:3:55915:35051:88237,0.117633974977902,22633
rxn:3:62819:1848:113646,0.09344215478215899,22633
