molecule_name,score,max_hist_sim,hf_unique,brenk_ok,shelf_ok
rxn:1:56029:10393,0.12048254468861748,1.0,False,True,False
rxn:1:59226:102,0.12046907416411809,1.0,False,False,False
rxn:1:45567:10477,0.12045633070396655,1.0,False,True,False
rxn:1:49432:23566,0.12043386438618535,1.0,False,False,False
rxn:1:40042:10503,0.12029771732561516,1.0,False,True,False
rxn:1:55197:10477,0.12019417502663353,1.0,False,True,False
rxn:1:45713:10477,0.12016917900605635,1.0,False,True,False
rxn:1:55834:10393,0.12015615990667632,1.0,False,True,False
rxn:1:45979:120,0.1199426208772967,1.0,False,False,False
rxn:1:55769:22861,0.1199266559937421,1.0,False,False,False
rxn:1:55698:10477,0.11988799361621633,1.0,False,True,False
rxn:1:55923:10393,0.11983804991751006,1.0,False,True,False
rxn:1:58026:10477,0.11982914980720072,1.0,False,True,False
rxn:1:55807:10393,0.11978784655079697,1.0,False,True,False
rxn:1:59225:9366,0.11962296133456023,1.0,False,True,False
rxn:1:55771:10393,0.11958237850304806,1.0,False,True,False
rxn:1:55318:10477,0.11945942676428592,1.0,False,True,False
rxn:1:55308:10503,0.11933200674898484,1.0,False,True,False
rxn:1:55308:10477,0.11932271177118475,1.0,False,True,False
rxn:1:59370:107,0.11929041941960652,1.0,False,False,False
rxn:1:59225:1394,0.11915419782911028,1.0,False,True,False
rxn:1:56346:10477,0.11907775061471122,1.0,False,True,False
rxn:1:49899:10477,0.11888922282627651,1.0,False,True,False
rxn:1:52504:11890,0.11873161792755127,1.0,False,False,False
rxn:1:52414:2007,0.11873117089271545,1.0,False,False,False
rxn:1:55145:10393,0.11871730908751488,1.0,False,True,False
rxn:1:55479:10393,0.11857431381940842,1.0,False,True,False
rxn:1:55510:10477,0.11855353550477461,1.0,False,True,False
rxn:1:57552:10477,0.1185139287263155,1.0,False,True,False
rxn:1:45581:10477,0.11838980335177797,1.0,False,True,False
rxn:1:55315:10477,0.1183638030832464,1.0,False,True,False
rxn:1:52404:23567,0.11829505960146586,1.0,False,False,False
rxn:1:55300:10393,0.11822802200913429,1.0,False,True,False
rxn:1:41735:10393,0.1182109578963249,1.0,False,True,False
rxn:1:55514:10393,0.11796709150075912,1.0,False,True,False
