molecule_name,score,max_hist_sim,hf_unique,shelf_ok
rxn:2:116808:147405,0.1086606295020492,0.59375,True,True
rxn:2:116808:156270,0.10689189178603035,0.6140350877192983,True,True
rxn:2:79824:159352,0.1025120735168457,0.7464788732394366,True,True
rxn:2:147486:167865,0.10217846743762493,0.7121212121212122,True,True
rxn:2:138879:149475,0.10216866654378397,0.7101449275362319,True,True
rxn:2:153842:96095,0.1021025963127613,0.6617647058823529,True,True
rxn:2:93644:169241,0.1017940090252803,0.6557377049180327,True,True
rxn:2:153842:82351,0.1016994468097029,0.6833333333333333,True,True
rxn:2:153842:112303,0.101652842980844,0.7368421052631579,True,True
rxn:2:153842:66730,0.10161096078378183,0.6610169491525424,True,True
rxn:2:153842:91071,0.10151565074920654,0.711864406779661,True,True
rxn:2:147486:158647,0.10149262710051103,0.6470588235294118,True,True
rxn:2:68063:171868,0.10146844599928175,0.6111111111111112,True,True
rxn:2:153842:106310,0.10145014950207301,0.7377049180327869,True,True
rxn:2:138879:162805,0.10134844252696404,0.6842105263157895,True,True
rxn:2:147486:147290,0.10130161046981812,0.7272727272727273,True,True
rxn:2:119782:143259,0.10127065650054387,0.4166666666666667,True,True
rxn:2:153842:163723,0.10119076336131376,0.7384615384615385,True,True
rxn:2:73954:147925,0.10107239809903232,0.5066666666666667,True,True
rxn:2:147486:145958,0.10089561614123257,0.6666666666666666,True,True
rxn:2:153842:118558,0.10081084697477279,0.746031746031746,True,True
rxn:2:68063:170700,0.10078216832259605,0.6571428571428571,True,True
rxn:2:138879:155405,0.1007764797944289,0.6865671641791045,True,True
rxn:2:119020:143248,0.1007653783107626,0.7457627118644068,True,True
rxn:2:153842:103860,0.10072881367898756,0.7014925373134329,True,True
rxn:2:74989:161340,0.1006616223603487,0.6891891891891891,True,True
rxn:2:110360:171120,0.10060532225502862,0.6923076923076923,True,True
rxn:2:147486:114668,0.10054387152194977,0.6774193548387096,True,True
rxn:2:91355:107281,0.1004596437726702,0.71875,True,True
rxn:2:138879:157311,0.10042923463113379,0.7397260273972602,True,True
rxn:2:153842:170526,0.1004064492881298,0.6349206349206349,True,True
rxn:2:104126:171680,0.1003711784587187,0.5789473684210527,True,True
rxn:2:68063:169183,0.10032501618067423,0.7058823529411765,True,True
rxn:2:147486:149040,0.10020742671830314,0.6349206349206349,True,True
rxn:2:79824:124582,0.10020206066278312,0.6607142857142857,True,True
rxn:2:147486:170493,0.1001549243927002,0.6811594202898551,True,True
rxn:2:68063:171517,0.10015272652661358,0.6451612903225806,True,True
rxn:2:147486:102100,0.10012145289059343,0.6376811594202898,True,True
rxn:2:89333:167491,0.10009195974894933,0.5217391304347826,True,True
rxn:2:153842:160651,0.10001569285112269,0.6417910447761194,True,True
rxn:2:147486:156760,0.09997771417393404,0.704225352112676,True,True
rxn:2:138879:151477,0.09992367691463894,0.6557377049180327,True,True
rxn:2:147486:150150,0.09986359964717519,0.696969696969697,True,True
rxn:2:153842:159964,0.09984613006765192,0.6142857142857143,True,True
rxn:2:125488:129807,0.09980666160583496,0.5245901639344263,True,True
rxn:2:68063:173005,0.09980483507287913,0.6712328767123288,True,True
