name,score,max_hist_sim
rxn:2:150258:137856,0.14217742159962654,1.0
rxn:2:160183:137856,0.1384526587301685,1.0
rxn:2:149894:137856,0.13757905550301075,1.0
rxn:2:69935:124690,0.1365779846906662,1.0
rxn:2:71886:173019,0.13315571076942212,1.0
rxn:2:159507:137856,0.1290815845131874,1.0
rxn:2:165936:137856,0.12850938994308997,1.0
rxn:2:123420:146755,0.12837018889765586,1.0
rxn:2:149099:137856,0.1281753142674764,1.0
rxn:2:157192:137856,0.12799814715981483,1.0
rxn:2:163558:137856,0.12787233106791973,1.0
rxn:2:165987:137856,0.1278148852288723,1.0
rxn:2:149099:124690,0.1266810441839284,1.0
rxn:2:84315:129212,0.12663745880126953,1.0
rxn:2:160183:108313,0.12584846019744872,1.0
rxn:2:70891:146755,0.12480912537410341,1.0
rxn:2:149099:164352,0.1238830974025111,1.0
rxn:2:157945:137856,0.12377374822443182,1.0
rxn:2:109614:145209,0.12335085868835449,1.0
rxn:2:123420:117380,0.12323336255165838,1.0
rxn:2:109584:150247,0.12297857384527883,1.0
rxn:2:70572:145209,0.12272923390070598,1.0
rxn:2:149099:74416,0.1226358836696994,1.0
rxn:2:149099:108313,0.1224530606434263,1.0
rxn:2:127741:173019,0.12239645757982807,1.0
rxn:2:112615:137856,0.1222332755724589,0.5432098765432098
rxn:2:165873:137856,0.12178231477737426,1.0
rxn:2:89564:137856,0.12177127202351888,0.5432098765432098
rxn:2:101450:83322,0.12149209529161453,1.0
rxn:2:147950:137856,0.12145680747926235,0.9264705882352942
rxn:2:160338:137856,0.12130162222632046,1.0
rxn:2:97860:158710,0.12128053392682757,1.0
rxn:2:141710:137698,0.12097657389110988,1.0
rxn:2:137383:145452,0.12096289473195229,1.0
rxn:2:84625:137856,0.12077883399766066,0.5753424657534246
rxn:2:156650:157652,0.12073217800685337,1.0
rxn:2:95535:137856,0.12072031100591024,0.5432098765432098
rxn:2:95283:145452,0.1204919179280599,1.0
rxn:2:123420:160587,0.12030919031663374,1.0
rxn:2:92814:157403,0.12030136585235596,1.0
rxn:2:128543:147854,0.12024180927584248,1.0
rxn:2:123420:81863,0.12009609490633011,1.0
rxn:2:152489:164117,0.12002569617647113,1.0
rxn:2:144549:137856,0.11986829042434692,1.0
rxn:2:132220:137698,0.11979198455810547,1.0
rxn:2:123420:148717,0.1197691485285759,1.0
rxn:2:69203:151299,0.1196593292828264,1.0
rxn:2:110892:147854,0.11941505329949516,1.0
rxn:2:122648:96812,0.11939883232116699,1.0
rxn:2:107056:157753,0.1192898154258728,1.0
rxn:2:123961:173019,0.11922559700906277,1.0
rxn:2:106493:164117,0.11921556506838117,1.0
rxn:2:123016:156548,0.11915414642404627,1.0
rxn:2:144952:149983,0.11909837192959255,1.0
rxn:2:96587:145452,0.11903031170368195,1.0
rxn:2:71886:161792,0.119016382843256,1.0
rxn:2:110360:70971,0.11899649783184654,1.0
rxn:2:167880:137856,0.11888670126597087,1.0
rxn:2:134313:153985,0.1188579010111945,1.0
rxn:2:74510:148983,0.11883576114972433,1.0
rxn:2:121718:161792,0.11873788987436602,1.0
rxn:2:144952:157403,0.1186854134906422,1.0
rxn:2:101490:150247,0.11865661342938741,1.0
rxn:2:128543:165909,0.11862866340144988,1.0
rxn:2:93093:108313,0.11857731103897094,1.0
rxn:2:99789:145209,0.11857001781463623,1.0
rxn:2:84164:145209,0.11853712797164917,1.0
rxn:2:91491:145209,0.11851131504979627,1.0
rxn:2:93093:145452,0.11847199653757029,1.0
rxn:2:107315:164117,0.11829137007395427,1.0
rxn:2:76367:156548,0.11822811762491862,1.0
rxn:2:90792:164117,0.11820469697316488,1.0
rxn:2:112263:145452,0.11816600273395407,1.0
rxn:2:150258:96812,0.11812963408808555,1.0
rxn:2:119579:156548,0.11812515220334453,1.0
rxn:2:84315:117380,0.11811736027399698,1.0
rxn:2:101490:173019,0.11810590699315071,1.0
rxn:2:100972:164117,0.11800660888353984,1.0
rxn:2:132632:117380,0.11794096452218515,1.0
rxn:2:100972:149983,0.11789751052856445,1.0
rxn:2:140366:145209,0.11783507562452747,1.0
rxn:2:95971:151299,0.1178334993975503,1.0
rxn:2:109614:142264,0.1177434099131617,1.0
rxn:2:84573:145209,0.11774026155471802,1.0
rxn:2:88800:145452,0.11770019608159218,1.0
rxn:2:124807:147854,0.11768988966941833,1.0
rxn:2:93093:133780,0.11764265775680542,1.0
rxn:2:123961:157804,0.11754148453474045,1.0
rxn:2:93093:96812,0.11751004457473754,1.0
rxn:2:107315:151299,0.11747499306996663,1.0
rxn:2:127747:117380,0.11734587592738015,1.0
rxn:2:150051:147854,0.11717856261465284,1.0
rxn:2:156650:157403,0.1171776128537727,1.0
rxn:2:127741:145452,0.11710215210914612,1.0
rxn:2:109584:157804,0.11708453207304984,1.0
rxn:2:141710:80746,0.11699604529600877,1.0
rxn:2:84315:148717,0.11696049474900769,1.0
rxn:2:88800:149983,0.11687722513752599,1.0
rxn:2:106227:145452,0.11686862707138061,1.0
rxn:2:107997:151299,0.11686064868137755,1.0
rxn:2:83604:112725,0.11684813896814981,1.0
rxn:2:70891:149365,0.11682201665023277,1.0
rxn:2:136201:149983,0.11669872385082823,1.0
rxn:2:138177:145452,0.11669728262671109,1.0
rxn:2:123420:137698,0.11668520371119182,0.9552238805970149
rxn:2:108529:170892,0.116660737991333,1.0
rxn:2:127741:156548,0.11666025008474078,1.0
rxn:2:134313:164117,0.11665322950908116,1.0
rxn:2:136201:165909,0.1165731314456824,1.0
rxn:2:146579:74704,0.1165537875274132,0.8125
rxn:2:127747:165358,0.11654943890041775,1.0
rxn:2:74698:150247,0.11653947830200195,1.0
rxn:2:102433:164117,0.11646154420129184,1.0
rxn:2:164058:145209,0.11645663310499753,1.0
rxn:2:93632:131664,0.1164548088003088,1.0
rxn:2:93632:114031,0.11641218112065242,1.0
rxn:2:109218:168965,0.11640516596455727,1.0
rxn:2:106574:145452,0.11640355587005616,1.0
rxn:2:121718:170874,0.11638171826639483,1.0
rxn:2:150258:74416,0.11637770407127612,1.0
rxn:2:93632:137698,0.11633382903205024,1.0
rxn:2:78664:149983,0.11629749536514282,1.0
rxn:2:118833:96665,0.11629511203084673,1.0
rxn:2:85085:169604,0.1162701271198414,1.0
rxn:2:118881:149436,0.11626876990000407,1.0
rxn:2:96587:173019,0.11615792007157297,1.0
rxn:2:124177:145209,0.11609653915677752,0.7611940298507462
rxn:2:128157:145209,0.1160733372934403,0.6753246753246753
rxn:2:133107:145209,0.11600646088200231,1.0
rxn:2:70967:167920,0.11594044340067897,0.7
rxn:2:70309:158710,0.11582270051751818,1.0
rxn:2:117470:158710,0.11581648218220678,1.0
rxn:2:127539:142264,0.11577889837067702,1.0
rxn:2:123429:161792,0.11574717875449889,0.796875
rxn:2:154847:137856,0.11569699048995971,1.0
rxn:2:123420:154976,0.11568958528580205,1.0
rxn:2:120150:145209,0.11563815801374373,1.0
rxn:2:114931:145209,0.11563212983310223,1.0
rxn:2:95283:158710,0.11558456256471832,1.0
rxn:2:77440:116388,0.11556841731071472,1.0
rxn:2:112263:96812,0.11551748514175415,1.0
rxn:2:128543:173019,0.1155102513730526,1.0
rxn:2:109218:161792,0.11549438584235407,0.7428571428571429
rxn:2:127747:145209,0.11546589999363341,1.0
rxn:2:69203:158710,0.1154548217510355,1.0
rxn:2:69824:145452,0.11543922424316407,1.0
rxn:2:103729:158710,0.11541074735146982,1.0
rxn:2:71903:145209,0.11533612571656704,1.0
rxn:2:99816:145452,0.11530655814755347,1.0
rxn:2:121898:145452,0.11528316620857484,0.7971014492753623
rxn:2:93632:124690,0.11528297901153564,1.0
rxn:2:107070:145209,0.1152681589126587,1.0
rxn:2:127741:150247,0.1152536026362715,1.0
rxn:2:96587:147854,0.11520599201321602,1.0
rxn:2:69041:145209,0.11517544039364519,1.0
rxn:2:94516:124690,0.11515297492345174,1.0
rxn:2:101490:156548,0.11511170658571966,1.0
rxn:2:114914:165748,0.11506409798899005,0.7692307692307693
rxn:2:93375:156548,0.11505626567772456,0.7014925373134329
rxn:2:127937:111242,0.11505246588162013,1.0
rxn:2:134313:117380,0.11504277161189488,1.0
rxn:2:116161:117630,0.11503202964862187,1.0
rxn:2:87285:158710,0.11497570787157331,0.7536231884057971
rxn:2:84573:145452,0.1149051825205485,0.7164179104477612
rxn:2:118833:145209,0.11487363946848902,1.0
rxn:2:85085:158710,0.11487061211041041,1.0
rxn:2:93632:151299,0.11485995139394488,1.0
rxn:2:107315:161792,0.11485916760659987,1.0
rxn:2:144952:168163,0.11485307849943638,1.0
rxn:2:118836:157753,0.11484161738691659,1.0
rxn:2:81768:144913,0.11477855713136735,1.0
rxn:2:138190:145452,0.11472280179300616,1.0
rxn:2:70758:151299,0.11472127040227255,1.0
rxn:2:144949:137856,0.11471384147117877,1.0
rxn:2:70798:145452,0.114710358902812,0.8428571428571429
rxn:2:138177:147854,0.11470349903764396,0.7164179104477612
rxn:2:134313:137698,0.11469588456330476,0.9491525423728814
rxn:2:95477:145452,0.11464622020721435,0.704225352112676
rxn:2:149099:133780,0.11462641789995391,1.0
rxn:2:160183:146388,0.11460847565622041,1.0
rxn:2:141979:148983,0.11460607216275971,0.7272727272727273
rxn:2:123420:111242,0.1145904716104269,0.927536231884058
rxn:2:93935:147854,0.11459039052327474,1.0
rxn:2:123429:145209,0.1145845228625882,1.0
rxn:2:100752:164117,0.11448536600385394,1.0
rxn:2:118833:148672,0.1144457089489904,0.6617647058823529
rxn:2:152489:149983,0.1144418856676887,1.0
rxn:2:121147:133780,0.11442530155181885,0.7121212121212122
rxn:2:101994:145209,0.11440411518360007,0.8688524590163934
rxn:2:108121:157753,0.11438798308372497,1.0
rxn:2:126566:148983,0.11437928235089337,0.7777777777777778
rxn:2:79964:145452,0.11433506423029406,1.0
rxn:2:74699:158710,0.11431866458484105,1.0
rxn:2:70891:166169,0.11430480211011824,0.7432432432432432
rxn:2:146532:137856,0.11429390825074294,1.0
rxn:2:111512:117380,0.11429214874903361,0.7246376811594203
rxn:2:84866:164117,0.11427121777688304,1.0
rxn:2:141046:158710,0.11427091487816401,1.0
rxn:2:91814:145209,0.11426871376378196,0.7419354838709677
rxn:2:139839:80746,0.11426442199283177,0.7878787878787878
rxn:2:81768:164117,0.11426032411641088,1.0
rxn:2:119211:157753,0.11418257088496767,1.0
rxn:2:128543:170874,0.11414119505113171,1.0
rxn:2:70891:78267,0.11413725359099251,0.7571428571428571
rxn:2:135604:149983,0.11411183687948412,1.0
rxn:2:85085:117630,0.11409093618392945,1.0
rxn:2:160183:117630,0.11408337553342184,1.0
rxn:2:127937:75566,0.11406559467315674,1.0
rxn:2:101490:148983,0.11401086250940959,1.0
rxn:2:76129:145209,0.11399246084279027,1.0
rxn:2:134313:165358,0.11397664414511786,0.8813559322033898
rxn:2:87228:151299,0.11397571223122734,1.0
rxn:2:123961:158710,0.11397469838460286,1.0
rxn:2:150258:108313,0.11397395979973578,1.0
rxn:2:121044:147854,0.11397276253535829,1.0
rxn:2:91720:153985,0.11397061603409904,0.6933333333333334
rxn:2:149099:96812,0.11394439894577553,1.0
rxn:2:141979:147854,0.11392121315002442,1.0
rxn:2:110272:145209,0.11389399151648244,1.0
rxn:2:127741:161792,0.11388826767603556,1.0
rxn:2:121718:149983,0.11388274546592467,1.0
rxn:2:127539:145209,0.11386733014008095,1.0
rxn:2:144952:157652,0.11384719780513218,1.0
rxn:2:93375:145209,0.1138247807820638,1.0
rxn:2:136710:147854,0.1137942411005497,1.0
rxn:2:76129:145452,0.11375067562892519,1.0
rxn:2:93632:169604,0.11373401791961105,1.0
rxn:2:150051:149983,0.11371543341212803,1.0
rxn:2:70891:91059,0.1137002876826695,0.5308641975308642
rxn:2:152489:147106,0.11369329329692957,1.0
rxn:2:133625:158710,0.11369171224791429,1.0
rxn:2:138822:145452,0.11363709767659505,1.0
rxn:2:94516:116388,0.11355661021338569,0.6986301369863014
rxn:2:105957:156548,0.11354780395825705,1.0
rxn:2:132632:117630,0.11352347334225972,0.7457627118644068
rxn:2:86646:158710,0.11348745013986315,1.0
rxn:2:123961:142273,0.11347754086766924,1.0
rxn:2:107171:173019,0.11347507527380278,1.0
rxn:2:112263:117630,0.11346906185150146,0.7833333333333333
rxn:2:96169:145452,0.11346513225186255,1.0
